Symbol,Year,Quarter,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Long-term prepayments (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from disposal of fixed assets,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
DCM,2020,3,4193324835002,373810125579,2202000000000,532220529605,1029378222368,55915957450,5042792549645,4213593311005,19612801399,9236117384647,2725542108274,2359075790037,366466318237,6510575276373,6510575276373,3665420000,786789472430,27330851567,9236117384647,30032516109,1029378222368,0,398789532376,5294000000000,5294000000000,203729636093,278214205754,773074419527,19323545036,3000000,3000000,0.36711499499826195,2078923692020,100709380178,14.059559785016692,32571555075,-7586212443,2078923692020,-59937462735,2018986229285,-1762048655331,256937573954,-10277611047,-90349967086,-80287696142,108593854754,1810032876,-296428339,1513604537,110107459291,-7694894387,0,102412564904,1703184726,100709380178,110393498185,328507514235,45802410215,-2875204398,0,-29291898150,7586212443,460122532530,-202808158325,262241595726,274531744418,-1630239868,-18016453505,-15199715545,0,-21061613766,738179691665,-17779682080,0,-300000000000,0,0,8518285624,-309261396456,314422953656,-932316523309,0,-1916426700,-619809996353,-190891701144,563542496156,1159330567,373810125579,0.1813255576,0.4186330689,0.6471921653830206,1.2298026589295428,0.7584159564,1.5771912764,3.996402710630903,77.6410466524,52.1658817843,133.80333114733088,4.7011215811,0.042744179962318066,0.12726068668878013,0.04988116249493442,0.0923835948,0.0757204071,0.0596832158,1890450365251.0,86299910726,0.0,1.777528663,0.1584561747,1.3411805699,-11.375889005801731,1.418633068903303,6670440000000.0,529400000.0,11.4459000648,1.0288737495,0.9007301571,2.960622185,190.23305662636946,12246.4005002002,3.8619182581
DCM,2020,4,3986947246255,509995350873,2302000000000,217396300223,842767110538,114788484621,4739185580576,3955428596723,22798686580,8726132826831,2397641661965,2063167280580,334474381385,6328491164866,6328491164866,3665420000,585502186898,26100702508,8726132826831,15505616232,843062697495,0,419222855460,5294000000000,5294000000000,137062222093,118183078862,685406563747,17258713922,3000000,3000000,0.06802963199648057,2258238112671,210691341193,0.6784511327055044,32637166462,-5093183055,2258238112671,9511487343,2267749600014,-1821907244196,445842355818,-8019116224,-105623528381,-135688221874,229148655801,2361685053,-1209311985,1152373068,230301028869,-27095461514,4053636784,207259204139,-3432137054,210691341193,224863037098,332376371935,-196647899195,53937840,0,-26479817742,5093183055,412277072602,272896901425,186315524873,-143796512926,-16839701700,-2296909706,-8833492189,0,-7656398992,692066483387,-31102320397,0,-1520000000000,1420000000000,0,44052082120,-87050238277,156382214000,-307386964678,0,-317554747000,-468559497678,136456747432,373810125579,-271522138,509995350873,0.1516697929,0.3779424325,0.6250192176426548,1.1954082291020023,0.8005553099,1.6539913545,1.150810109947765,62.6684972707,46.4235029943,110.24281037494777,5.8242979471,0.09019100061212107,0.19660122784951548,0.09290767428277764,0.1063392651,0.0900053631,0.0699887172,1961593274432.0,204530605563,0.03125,1.9404378527,0.2487598014,1.5335729112,-40.157717355595814,1.378864661339188,8470400000000.0,529400000.0,12.813630291,1.3444865434,1.1202343371,4.7569680344,397.9813773951643,11900.4538040121,4.6394555386
DCM,2021,1,4106050728553,435782531594,2602000000000,195136185000,738921303044,134210708915,4431320077633,3631057886543,16456369902,8537370806186,2079070856231,1772361073347,306709782884,6458299949955,6458299949955,3665420000,700439636908,26073592889,8537370806186,35330165806,739216890001,0,434121300158,5294000000000,5294000000000,103339515093,270325026982,405159743465,14043560138,3000000,3000000,0.38656819790920643,1931697422175,151878081723,0.6631763107014086,35790409582,-3484006948,1931697422175,-58944590481,1872752831694,-1605435583820,267317247874,-9182040857,-80921619680,-53212750066,159791246853,1726758469,-114925089,1611833380,161403080233,-6568684736,-3230146989,151604248508,-273833215,151878081723,161403080233,328876612797,98646000502,-1227979902,0,-27008015915,3484006948,564173704663,5248411295,95213582994,-2331914845,7248123809,-7763906485,-35175095949,0,-52541166645,574071738837,-49463271060,0,-600000000000,300000000000,0,15154985229,-334308285831,384092847066,-698062374351,0,-6745000,-313976272285,-74212819279,509995350873,0,435782531594,0.09473681636154652,0.32192230224609375,0.5622312241115869,1.2199282111739704,0.8999969363212585,1.981040358543396,4.105500296405071,53.25893020629883,35.17235565185547,92.53678615455937,6.853311061859131,0.07111610025308536,0.14274027162046685,0.0810988397148056,0.11325377225875854,0.09835360199213028,0.0810539573431015,2002866143232.0,133182878128,0.03125,2.3167123794555664,0.24587683379650116,1.8997987508773804,-38.226926672592846,1.3219223127357977,8470400000000.0,529400000.0,11.6271161041,1.3168690792,1.0471411127,3.6850238377,286.8871963033623,12150.0308973668,4.2784639503
DCM,2021,2,5196709864131,1159558420808,2932000000000,190031892909,886077063018,29042487396,4116694027414,4053096152331,12159936938,9313403891545,2578847011468,2258358159651,320488851817,6734556880077,6734556880077,3665420000,855847302882,28092526678,9313403891545,54199351706,886077063018,0,552951630517,5294000000000,5294000000000,69616808093,428932144247,358021040465,10810403410,3000000,3000000,0.26082352340263193,2504725178985,294028406222,0.10859928066177141,34325944987,-1864297464,2504725178985,-141161887880,2363563291105,-1836031861875,527531429230,-6589013853,-74546505167,-157967459188,322754396009,865515017,-814816711,50698306,322805094315,-25150286452,-1063276237,296591531626,2563125404,294028406222,322805094315,349061752525,5974710199,14622710,0,-30516138927,1864297464,702568754597,57578785522,-146860173017,509582205713,23653094967,-1091551915,-1291209817,0,-20402269825,1123737636225,-27031142014,0,-1900000000000,1570000000000,0,36754583308,-320276558706,96535500000,-175787809997,0,-37135500,-79289445497,724171632022,435782531594,-395742808,1159558420808,0.0738362843,0.3829274973,0.6018356106429765,1.2721112353753306,0.951949965,2.1504970312,3.803225370134029,45.4304732209,35.4058013972,84.63949998823404,8.0342548541,0.1248189401084644,0.22319327399240976,0.12440047927996778,0.1163659252,0.1003925314,0.0845845567,2057853110784.0,295017464875,0.0161030596,2.3011008426,0.5134519588,1.9087463088,-158.24591867545448,1.3829274972934098,16437870000000.0,529400000.0,21.7056827108,2.4510485904,1.9286366072,5.2549802063,555.3993317378164,12668.0475130317,7.6458527929
DCM,2021,3,5836119226472,663120284075,3412000000000,267971954959,1446280968282,46746019156,3795466901807,3721627350299,9108367593,9631586128279,2967716620776,2639688715427,328027905349,6663869507503,6663869507503,3665420000,673591634537,27460399560,9631586128279,141141555633,1446280968282,0,665152053406,5294000000000,5294000000000,35894101093,673026517464,339987819775,7884752157,3000000,3000000,-0.08757474526402603,1896862479268,376694507320,2.7404113366024774,39924492023,-772317146,1896862479268,-85132163514,1811730315754,-1228558358787,583171956967,-4269735989,-135871416677,-89829067325,393126228999,217144267,-3483013,213661254,393339890253,-19489791693,0,373850098560,-2844408760,376694507320,394080584911,338619334723,-17213397745,-337785882,0,-31452564660,772317146,728137361913,-67140704575,-560203905264,390687394385,6696551867,-2219842632,-23531985167,0,-21720482863,450704387664,-10975755431,0,-1080000000000,600000000000,0,18934502060,-472041253371,206648568500,-258459546693,0,-425013523200,-476824501393,-498161367100,1159558420808,1723230367,663120284075,0.0617923297,0.445344348,0.5584784255016904,1.258758879392331,0.9186569448,2.1654013053,0.6841437134747607,55.0237779775,39.6199680453,95.32788973627476,6.6334957979,0.19730942837164409,0.32188673551245256,0.20791974613684627,0.1578436133,0.1406587195,0.1141491658,2339136493511.0,357471472965,0.0343642612,2.2109119126,0.2512115463,1.6630136093,-462.85580323630415,1.4453443479699868,15405540000000.0,529400000.0,14.9091786094,2.321366834,1.8525634742,5.4233778543,711.5498816018134,12535.7179976256,6.4749372593
DCM,2021,4,7282185488206,427652730904,4362000000000,187577767146,1936317899279,368637090877,3564192016365,3424405474554,56223823325,10846377504571,3240698416180,2822197382908,418501033272,7605679088391,7605679088391,3665420000,1287119748249,26588241172,10846377504571,86006714411,1936317899279,0,994305678970,5294000000000,5294000000000,2676343532,285547357383,689162951336,42965697773,3000000,3000000,0.7004474292669275,3840015193364,1094576262707,4.195164910475999,55531583923,-1551375877,3840015193364,66844464111,3906859657475,-2431286774443,1475572883032,-14123791658,-120067042137,-221214728298,1175698904862,1561435974,-1335903918,225532056,1175924436918,-91783642650,11736144678,1095876938946,1300676239,1094576262707,1177768877215,350471059221,-50354098635,-5409606926,0,-41828482854,1551375877,1562981626085,62340553685,-490036930997,-329857222880,-338918383209,-1520340320,-18862167579,0,-67890893276,378236241509,-25813050315,0,-2950000000000,2000000000000,0,41891505300,-933921545015,693984950000,-372223043294,0,-267189000,321494717706,-234190585800,663120284075,-1276967371,427652730904,0.09287330889999999,0.4806067543,0.45024322414297935,1.4366601980338118,0.9974695693,2.6816175342,1.6532098072924226,78.2256109153,38.7181385327,118.59695925529243,4.6659910447,0.29033321184874383,0.37768771146124597,0.2801677968167466,0.2641824218,0.2242421245,0.1842845607,3217854877728.0,1134291112597,0.0210526316,2.2833953356,0.1342030114,1.5917269694,-731.151701798055,1.4260892917670522,20117200000000.0,529400000.0,11.0324385485,2.6997484341,2.0382657815,7.8312761141,2067.5788868662635,14075.385513555,6.0972254497
DCM,2022,1,9491389553736,1045379351399,5562000000000,659585321517,2061619322785,162805558035,3450700796185,3068935154593,299425085928,12942090349921,3969279430665,3384147098830,585132331835,8972810919256,8972810919256,3665420000,2226213325316,28413047306,12942090349921,579665263214,2061619322785,0,1420519126634,5294000000000,5294000000000,2564971532,761608729598,517187986336,298150101683,3000000,3000000,1.2171975584419403,4282954808095,1515547340573,8.97871005071754,69374836522,-4201473256,4282954808095,-208155738179,4074799069916,-2097542737831,1977256332085,-19757735462,-177970358142,-243212225332,1605690849671,2850961639,-2020342984,830618655,1606521468326,-76701682036,-12251726170,1517568060120,2020719547,1515547340573,1606521468326,344669298190,36269681302,-5118644790,0,-43698467662,4201473256,2120975390394,-519404566929,142458384949,368646353002,-6070135682,-4733687395,-87763810243,0,-41425247212,1972682680884,-11331894077,0,-2280000000000,1080000000000,0,28479413188,-1182852480889,987490007364,-1159576344364,0,-17242500,-172103579500,617726620495,427652730904,0,1045379351399,0.058211182,0.4423674439,0.3420260587467575,1.6949019492361164,1.1379329396,3.4081574689,0.5628834987880683,76.0710539105,38.6243657533,115.25830316258806,4.7981456972,0.38187741822643484,0.4852402040343452,0.37193179702091234,0.4377830559,0.3521549965,0.307098623,4725675243707.0,1556073748611,0.0284697509,2.8046622314,0.3089048203,2.1954631445,-370.3638352068092,1.442367443868317,14876140000000.0,529400000.0,4.5342383204,1.6631795916,1.2236734661,3.7897508544,2862.764149174537,16895.3492103325,3.0427242483
DCM,2022,2,10784246933828,1996496136466,5212000000000,922784815501,2546619823263,106346158598,3132538834173,2790724704767,299126147169,13916785768001,3937639303895,3247218585775,690420718120,9979146464106,9979146464106,3665420000,2926972813693,28683474774,13916785768001,111977907040,2546619823263,0,1725824755639,5294000000000,5294000000000,1762626032,256456178241,472711268886,297428108178,3000000,3000000,0.6550168143571911,4145362286564,1019377065382,2.466933955395931,67358341951,-3377225061,4145362286564,-61590115381,4083772171183,-2740588216374,1343183954809,-13118466287,-120935958901,-185350696085,1091137175487,6042820073,-1451273148,4591546925,1095728722412,-76125643710,423054746,1020026133448,649068066,1019377065382,1095728722412,346331721206,387091095995,1309527958,0,-61733335169,3377225061,1893472229193,-204884817214,-485000500478,-419922407944,12185456600,-3469676689,-125000000000,0,-41687813302,625692470166,-40724590437,0,-2600000000000,2950000000000,0,60051238956,369326648519,404628807848,-448774212500,0,-36812500,-44182217152,950836901533,1045379351399,279883534,1996496136466,0.047723171700000004,0.3945867834,0.27965565139312865,1.8849917763706083,1.1726309815,4.2680267945,5.330970468770867,85.8044269882,37.5139916225,128.6493890794709,4.2538597694,0.2539067451264374,0.3289076614721879,0.2496165365382525,0.482361658,0.3907482282,0.3385266272,5464825047336.0,1036897299823,0.0253565769,3.3210720649,0.6148326895,2.536825561,-307.0264140216861,1.394586783354498,16702570000000.0,529400000.0,4.1691852909,1.6785721446,1.203601352,4.8733676939,1925.5328020060447,18795.7366628863,2.783114025
