,ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
0,GVR,2018,3,16751086815333,3759431541373,5482399403351,2416778199651,4123883173476,968594497482,58251412504692,1043517932636,24695759362960,1167558321282,3369991353066,2166943294023,75002499320025,27032009042622,9648273971198,17383735071424,47970490277403,47855320913097,33306738051,1016108402071,115169364306,4499887733780,75002499320025,697968977025,14384311047,4128110820763,0,2396480599853,40000000000000,40000000000000,10202030502536,968898491227,3380778959626,34029376949,2115894306055,320037486307,269575628205,1360094000747,0.0,4850815747566,456057090941,0.0,170978115909,-138939933017,4850815747566,-3541846177,4847273901389,-3879465727083,967808174306,-186338530770,62093508468,-115392946229,-317469585940,581678735744,56833944891,-22595708097,34238236794,615916972538,-114971114604,-12452827406,488493030528,32435939587,456057090941,615916972537,439207551169,-6136083838,-83735769804,1206211703,138939933017,1040024767302,-255046936892,-163623741767,82978404549,-51401772989,-49308125678,-203487734929,2078620844,-385495959599,16717520841,-150885742507,77443630409,-2691871604829,1792503181398,50377879889,0,124722424192,-797710231448,2912423187324,-3093513687056,-8287220594,-189377720326,-970370430933,4646066202502,83735769804,3759431541373,0.0,0.0,0.5148114855643491,1.199262256935075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1103601019912883,0.19966030267624693,0.09408527354113733,0.0,0.0,0.0,0.0,534945642137,0.0,0.0,0.0,0.0,-3.850193609000421,1.563513295075821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,GVR,2018,4,18388278941767,5161965287049,5599664645929,3085560311445,3560236485633,980852211711,59311190435847,1026550052046,25307053760665,1184471049064,3396393883779,2357857796259,77699469377614,27615036501202,9735353452059,17879683049143,50084432876412,50005466640341,10591031002,2903069173695,78966236071,4679871292188,77699469377614,570363103773,15964743263,3598406314819,0,2429277669456,40000000000000,40000000000000,10304465034084,748320039049,3090489257876,31555035362,2252041373938,409543100671,452585135271,1527628577344,0.0,7812961364518,1464310626142,0.0,334252610523,-232463549322,7812961364518,-7456375476,7805504989042,-6008254130527,1797250858515,-417680411531,67356480193,-180235133604,-561519025085,1039425379011,1402607815512,-82796084463,1319811731049,2359237110060,-514297023953,18549515573,1863489601680,399178975538,1464310626142,2359237110060,1100154036526,685984535033,-332571956,-35340124776,232463549322,4271944642434,-810814135050,-109345849333,594671027877,-119444818818,-199157393504,-223625032784,9964336998,-842926829678,2571265948142,-606618579867,175969889065,-3880783362924,2872411230210,0,17415848990,713150871566,-708454102960,2068196924662,-2528807596124,0,-460610671462,1402201173720,3759431541373,332571956,5161965287049,0.4727031834,0.5596298034,0.5052878171369637,1.2521108219103,0.2549961924,0.7753412767,32.56273807305358,80.2689814679,25.8059134808,138.63763302175357,4.5472110562,0.13522465251227073,0.23025427067667323,0.18759972970329503,0.0523645871,0.0330126213,0.0335750105,3747297416918.0,1055496699826,0.0410032119,1.8328696258,0.5147604838,1.5058518506,-4.540482595677676,1.5513696555044294,58532000000000.0,4000000000.0,22.5502639065,1.3022958924,2.9691633487,54.7899846076,366.0776565355,11236.3097244435,19.287364933
2,GVR,2019,1,17374191422927,4149218330411,5712270528605,3354291212794,3146562104976,1011849246141,59192234138685,1017210200218,27639324356192,1186641645678,3872766420002,2410025173761,76566425561612,26477275713444,7887306508807,18589969204637,50089149848168,49974848777133,10591031002,2793457445337,114301071035,4712555880656,76566425561612,610550137302,11821132823,3200716763589,0,2461843143095,40000000000000,40000000000000,10226854628762,855524743752,2953300613643,29080693777,2229158559197,269236164253,336855996957,936923707069,0.0,3416222217281,209004912384,0.0,101589792578,-130116801415,3416222217281,-2190811789,3414031405492,-2781237828788,632793576704,-135482264546,44893729602,-80234869457,-283463951900,280096012981,143710778190,-14614012144,129096766046,409192779027,-108732128581,14373727689,314834378135,105829465751,209004912384,409192779027,522411807693,-7782805025,-1064311047,36345330555,130116801415,1044325873016,120028338352,141720835506,-351999705458,-18894811753,-142569215442,-404071727886,973087901515,-1581278815813,-219651327963,-360809419912,419340810449,-1764303404648,1399166295333,-343845052756,3080000000,208563038191,-438807733343,1325606481023,-1562332453167,-116401298283,-353127270427,-1011586331733,5159740351097,1064311047,4149218330411,0.0,0.0,0.5518026247195909,1.2522287462042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0788202343171534,0.1853508364586375,0.06121938774429055,0.0,0.0,0.0,0.0,269094755347,0.0,0.0,0.0,0.0,-2.068101524327653,1.5286030166952893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,GVR,2019,2,17680521701940,4802038719373,6076432111864,2634544073651,3076476440175,1091030356877,58087882106270,1004013540877,27950654044707,1234807074046,3710579219757,2726870953807,75768403808210,26010504652643,7781035997669,18229468654974,49757899155567,49665142878789,10591031002,3038086907423,92756276778,4035837466529,75768403808210,569363562090,10763264139,3128026847051,0,2670302555528,40000000000000,40000000000000,9663099844547,792224565253,2893043960657,26606352190,2619073943168,268595885067,392871922099,994877097288,0.0,4202230400107,664906696812,0.0,220482455065,-159279385124,4202230400107,-2139719262,4200090680845,-3411447780052,788642900793,-181059691564,134659210008,-92726807558,-352669428552,517328638192,405674843373,-26616570246,379058273127,896386911319,-169787520895,48077435995,774676826419,109770129607,664906696812,896386911319,337661275215,13497862449,-13164641132,-720515123741,134065665081,692826746857,633104552118,72689916538,-153992854161,-440886870535,-219283471829,-124890850464,1664481788824,-942299795337,1181749162011,-339037668057,193753989584,-1482577663361,1515840731776,269388088084,0,10154623997,167522102023,1404071700542,-2010650974108,-103036242638,-709615516204,639655747830,4149218330411,13164641132,4802038719373,0.4465470614,0.5227412148,0.5617330015746823,1.243947478889175,0.2657633585,0.7677380505,23.35546909310589,79.758097255,18.5513348992,121.66490124730588,4.5763378586,0.08172363188452482,0.18776806519671047,0.15830770031808694,0.0564780491,0.0353497167,0.0366418654,4163010881427.0,343246664683,0.0418672807,2.2722580524,0.6186684379,1.8768767123,-2.154997424279233,1.522741214843531,57324000000000.0,4000000000.0,20.5147708251,1.2537492379,2.8284541413,16.2236337761,166.226674203,11430.5154222595,16.601912539
4,GVR,2019,3,18115408131005,4458357044277,6459994961264,2852285870480,3302192327000,1042577927984,57905178050787,992374139754,27699259464189,1258118185400,3904727507448,2509453448152,76020586181792,26287253590309,7819901727608,18467351862701,49733332591483,49653279418392,10591031002,2910080319266,80053173091,4038921321903,76020586181792,526990654169,2429676855,3346889108728,0,2987831408633,40000000000000,40000000000000,9662028427333,474850285210,2563346438304,24132010602,2407460765182,263867385267,311873384255,954293372591,0.10014786754408471,5336614600534,980399375748,1.1497294861156628,147059657977,-147316452051,5336614600534,-2600605962,5334013994572,-3941851574727,1392162419845,-186865575737,102873701969,-117534180865,-391357922899,946338100290,523513325167,-53104420018,470408905149,1416747005439,-242717637416,45447194237,1219476562260,239077186512,980399375748,1416747005439,430039924534,-10851313868,17351521768,-151202184435,172530172094,1878923449876,-176028000069,-218862261677,691807494809,136921333358,69952466,-114632283744,-846603344654,-1575044803939,-218365219574,-147195789183,-41840556512,410338666395,-263838306436,-11551647161,53123674675,-52151486420,-53115444642,874044555836,-869703534170,-59190510778,-54849489112,-326330153328,4802038719373,-17351521768,4458357044277,0.440095247,0.5285640881,0.556955627560993,1.243333314787075,0.2712407753,0.7644327724,22.27637149993321,75.0338673345,19.9239033553,117.2341421897332,4.8644700449,0.16559205074824207,0.2609971442260355,0.18380142548288664,0.0664838544,0.0411743327,0.0433728952,4941375479905.0,883270316081,0.0502554653,2.3165774663,0.5709939361,1.894296926,-5.9957343785011705,1.528564088118454,47756000000000.0,4000000000.0,14.3903118814,1.0451168682,2.3010901961,14.406039429,245.099843937,11423.602817395,12.0537164977
5,GVR,2019,4,20681042568027,6242486393867,7440729415960,2791591516053,3195523257081,1010711985066,57489749570795,937738532589,27676971710448,1345341202759,3854945733913,2369092019115,78170792138822,27414033098425,9192780917504,18221252180921,50756759040397,50689529464729,10591031002,3908493142393,67229575668,4400480514623,78170792138822,694270576774,10536458059,3246864920364,0,2938336520141,40000000000000,40000000000000,9180249588506,598324142414,2627894912000,15489229631,2278342944178,262223400907,202105491583,707510863266,-0.0871849407407153,7131788790943,1462732685638,-0.001077599571996127,261322422859,-193818998376,7131788790943,-6710899719,7125077891224,-5266669335986,1858408555238,-230754215135,75694887137,-137773992086,-580544719011,1246352939002,905904865886,-167361839525,738543026361,1984895965363,-339928925254,36960361175,1681927401284,219194715646,1462732685638,1984895965363,447955272534,41575786137,-7907692488,-672851479902,193818998376,2000047053152,330847529899,100465203620,890822951011,311000550843,-347272343963,-266515847376,722951402448,-1000442762272,2741903737362,-658620720,-23638785184,30993002825,-842408219006,31735745994,-6066350372,-53124961594,-863168188057,1749627148503,-2020282728680,168141687974,-102513892203,1776221657102,4458357044277,7907692488,6242486393867,0.4138357715,0.551825969,0.5452864255659047,1.268918976009925,0.2540761393,0.7455269666,29.0261626622198,83.1499408758,24.250367322,136.4264708600198,4.3896603672,0.16001086044901422,0.26082641952967456,0.20529357123795888,0.0650432625,0.0410608803,0.0416983096,4378757526701.0,1140089844141,0.0555555556,2.1657565963,0.7320203025,1.8052927695,-5.882239892341605,1.54010605910843,43200000000000.0,4000000000.0,13.2915729404,0.9226797803,2.1813780898,11.5155146549,365.6831714095,11705.035951636,12.5619970523
6,GVR,2020,1,19871402319693,4819557673497,8046885100262,2715330187983,3312818953898,976810404053,57054985774474,937907164216,30170940360283,1363593702331,3066597827171,2481950373262,76926388094167,26327585753431,7697355360692,18630230392739,50598802340736,50537387528524,10591031002,4083923774224,61414812212,3891654285740,76926388094167,623846868850,8038609789,3391845661146,0,2917855228063,40000000000000,40000000000000,9181948699790,650617731677,2616053820392,13014888044,2340583345202,268307930283,195734462615,720089130316,-0.19429074892419515,2752481844194,226189777980,0.08222230472950146,239897945433,-154519031067,2752481844194,-7886416626,2744595427568,-2231783161685,512812265883,-152128522572,69622223355,-62657282630,-257539485349,350007144120,70861949465,-18650769165,52211180300,402218324420,-125537872582,59854977711,336535429549,110345651569,226189777980,402218324420,452920033584,-19496546784,-3874599926,-246892077066,154519031067,739394165295,227110018329,181987563268,-1151690556394,-27693700750,-160243548915,-339170731903,933915028731,-2603504068837,-2199895831176,-219216394257,131039138963,-1652421646353,1455553960949,-20627612000,0,338137975346,32465422648,1231361220637,-1296225908931,-66809781404,-131674469698,-2299104878226,7114787951797,3874599926,4819557673497,0.4146333559,0.5203203344,0.5962777568747517,1.2649700585184,0.2529117292,0.6838466868,19.725639053678922,80.5708601528,21.1379535837,121.43445279017891,4.5301738036,0.07017992377648082,0.1868443927043213,0.08241279414373576,0.0664034209,0.0410152784,0.0434588308,4227798828676.0,192615497904,0.0585365854,2.5815882714,0.6270097806,2.151204224,-1.2465487038970704,1.52032033438537,41000000000000.0,4000000000.0,12.2966975884,0.877809965,2.1129905739,27.2354337759,56.547444495,11676.787013749,12.2688191265
7,GVR,2020,2,20757910270148,4182369900678,9514527918108,2568756707558,3543512219646,948743524158,57029519483815,896938474828,31021870436641,1397959408988,3271975024506,2664804582642,77787429753963,27487343237819,8723208769436,18764134468383,50300086516144,50228904036050,10591031002,3770508383126,71182480094,3853400669870,77787429753963,577861273042,7997589489,3585060015643,0,3165336424713,40000000000000,40000000000000,9232367293485,795746168819,2779839013450,10540546457,2483546878780,269787526131,220115572578,750312074614,-0.23559344494861384,3212212463678,402350356706,-0.39487696749764706,207924103705,-142470146433,3212212463678,-4305928433,3207906535245,-2535209976028,672696559217,-194999418146,110397560915,-63022644634,-281887216653,451108944404,158855432752,-42026813449,116828619303,567937563707,-172445947218,109571035309,505062651798,102712295092,402350356706,567937563707,467601103875,-77593809878,61316253,-334562021546,142470146433,765914298844,160791984559,-193214354497,852118763907,-164869800633,11177862123,-8887766899,370675582765,-1238470185903,555236384266,-173373405701,106570204785,-1844028132177,645805033874,-23952981000,0,-62911503831,-1351890784050,1248493035567,-1034289248814,-54675843535,159527943218,-637126456566,4819557673497,-61316253,4182369900678,0.4223566016,0.5464671165,0.61673592602439,1.2575021629036,0.238410931,0.6317833118,20.841330852045374,88.6065939235,23.5987696742,133.04669444974536,4.119332251,0.10218087538668445,0.20969955072759738,0.12542458836796222,0.0610097372,0.0408228014,0.0397749502,4342278690583.0,327786697930,0.0437956204,2.3796186494,0.4802280255,1.973402048,-2.300739531310509,1.546467116492868,54800000000000.0,4000000000.0,17.8404453672,1.179847367,2.9763854477,62.3521503877,100.5875891765,11611.6714615685,15.3106794413
8,GVR,2020,3,21815947894808,6130627169973,9421538771094,2574059423476,2796658762779,893063767486,57428054316162,892090646208,30532592520043,1378532313096,3576384640905,2961216025814,79244002210970,30219647484448,11396379762958,18823267721490,49024354726522,48961422653805,10591031002,2281281910389,62932072717,4049984244023,79244002210970,638435663218,6826904176,2831598589153,0,3310362216657,40000000000000,40000000000000,9283172557088,758712663082,2464132032161,8066204869,2736164202175,269787526131,204785216755,718634867310,0.15579233560501202,6168018253375,982616408910,0.0022613571742724796,924322145643,-191494522550,6168018253375,-3835912583,6164182340792,-4913699876937,1250482463855,-340319825941,42799648545,-135753963067,-363331677019,1378198792016,115865302122,-30991173610,84874128512,1463072920528,-293033128841,21304014732,1191343806419,208727397509,982616408910,1463072920528,530313388170,-7563754335,3414302805,-271056237243,191494522550,1909675142475,27886749398,753461426490,3086490026236,-203429662364,-272590026024,-87189495710,6698789740,-2332389220003,2888613730238,-156847754197,2409255571,-491052453384,54839725462,-17925991000,0,24724444223,-583852773325,896518326857,-1161420044543,-88187667127,-353089384813,1951671572100,4182369900678,-3414302805,6130627169973,0.4289801929,0.6164211167,0.6228045772426042,1.22560886816305,0.2465876109,0.6446023269,19.569365057865205,79.6998433774,20.2247320919,119.4939405271652,4.5796827764,0.12189724155247124,0.20286266607978581,0.15940742090113924,0.0612694676,0.0396877244,0.0393925979,4310678661907.0,751396823769,0.0256410256,1.91428755,0.5385382657,1.6688886758,-3.923855438595155,1.616421116667942,93600000000000.0,4000000000.0,30.4500237386,2.0811853284,4.8644193319,23.4830241103,245.6541022275,11243.5926206248,23.9560101234
9,GVR,2020,4,23096805659510,6218511805791,9776216621332,2924493801010,2289866131801,1887717299576,56548375456682,884665421089,30202759930943,1475441018450,2795982196541,3194317638145,79645181116192,28473658964086,10564859042532,17908799921554,51171522152106,51134722899880,10591031002,4451862684772,36799252226,3748061098342,79645181116192,511842691955,10547546309,2304594947007,0,3378662079613,40000000000000,40000000000000,8745109099694,591527387974,3380707672413,5591863282,2868947749590,264342926131,193888583091,682824599050,0.2708303486477208,9063293635676,2667672106086,0.8237591408729898,1634637418240,-262816256119,9063293635676,-8882673546,9054410962130,-6684033305103,2370377657027,-482673836108,98498056935,-180388607498,-680506993991,2759943694605,1150401650629,-257752426003,892649224626,3652592919231,-520576313220,65256609066,3197273215077,529601108991,2667672106086,3652592919231,976808199329,49288645008,11594340881,-1604445401110,262816256119,3348654959458,-388542136625,527003642146,-2599772278528,-147374705717,-210434680628,-619327826520,-249096022233,334557974173,1264714125,-305436944977,-122601238457,1070988014506,-895117100959,5697624141,47509209936,-199002970517,-397963406327,3216107413342,-2837595230484,117665486043,496177668901,99478976699,6130627169973,-11594340881,6218511805791,0.3974806226,0.5609014448,0.5902259432730199,1.27928805380265,0.2659565506,0.7248856644,23.134543903374137,62.6268897084,19.8538639717,105.61529758347413,5.8281674485,0.16671234184657582,0.261792585618334,0.29462679761759397,0.0739161679,0.0374928109,0.0474917307,4448740084736.0,1509482055538,0.0,2.0124121043,0.5019907393,1.8236431112,-5.743488161000684,1.5564356455813215,100000000000000.0,4000000000.0,26.5200645305,2.1014006936,4.735674907,-117.3568413277,666.9180265215,11896.826757348,24.6511730455
10,GVR,2021,1,21914093708161,4658542926895,11291352543248,2623980112520,2488453524415,851764601083,57131184425467,879888597580,32803121333964,1450519146522,2859011278870,3911739992742,79045278133628,26908121460323,8878789240407,18029332219916,52137156673305,52092395355056,10591031002,5074278558197,44761318249,4292348113605,79045278133628,530901180661,10550937700,2502400977776,0,3374540390564,40000000000000,40000000000000,8181369127415,708713699094,3387528067048,4614471497,3660618282358,354526105622,295424210006,786992152934,0.7637449526721868,4854675960019,817931255109,2.616128290206477,186493312156,-147115291428,4854675960019,-5029040743,4849646919276,-3453444417865,1396202501411,-46942365300,114774094991,-94345889159,-309551664395,1246629989704,117222504860,-59875392562,57347112298,1303977102002,-137326346889,49589316085,1216240071198,398308816089,817931255109,1303977102002,547177896021,-7428157247,1013878657,-221232892878,147115291428,1770623117983,277214662836,-408202436275,-982864763850,77595808463,-132082842620,-358297903688,184597007783,-933422767674,-504840117042,-186909554163,127228207801,-1317507142683,1323210816474,-17693819782,0,307541951744,235870459391,1426580579687,-1965156998592,-61180732722,-599757151627,-868726809278,5528283614830,-1013878657,4658542926895,0.37881363928318024,0.5161026120185852,0.6291697404887383,1.303428916832625,0.2948943078517914,0.7474657297134399,16.224074794239286,58.235862731933594,16.317392349243164,90.77732987541604,6.26761531829834,0.20461385424016404,0.2878977634147927,0.16865789793024938,0.09614558517932892,0.05621083453297615,0.06170709431171417,6102871179264.0,992304947857,0.0204081633,2.468139886856079,0.5248132944107056,2.187870502471924,-6.745083656668322,1.5161025874297507,117600000000000.0,4000000000.0,24.1450173056,2.4579469234,5.0523826484,39.9962627766,204.48281377725,11961.202139925,21.1052634092
11,GVR,2021,2,21933579524870,6557563381869,8856546888260,2460422770871,3177458660105,881587823765,57069162754256,882879010565,32603063192107,1455194781176,3136777933765,4069082988825,79002742279126,26209858439388,8651728133707,17558130305681,52792883839738,52672140827411,10591031002,5372882518185,120743012327,4376513866972,79002742279126,585622722752,10542940099,3190020240163,0,3559398137970,40000000000000,40000000000000,7686188065702,669395695231,2362567270250,3637079712,3813918188671,354526105622,189543651672,692297668783,0.7733041698072447,5696229756147,759864697255,0.8885647411274399,186296914396,-137984451533,5696229756147,-2373108647,5693856647500,-4046675631316,1647181016184,-251534117243,85581012187,-106698177164,-572688169111,988138479249,314620177715,-38287471832,276332705883,1264471185132,-186537345864,-11941462469,1065992376799,306127679544,759864697255,1264471185132,547996917869,-5420332125,6372128374,-332341604919,129519085126,1610597379457,256077037501,-687619262387,644357858223,-110427623677,-102084457002,309050558348,1789501603047,933422767674,4642875861184,-198316488418,-5169221656,-1752264548137,727585862471,-821180218,0,-33681441507,-1262667017465,527694385413,-2047836243924,45325598140,-1474816260371,1905392583348,4658542926895,-6372128374,6557563381869,0.3359343554,0.4964657456,0.6175654902861394,1.31982209599345,0.3251381859,0.8169266837,14.335829704979256,51.7393805654,15.2147082085,81.28991847887926,7.0545877436,0.16997173090649012,0.2892909179417482,0.13345342959918627,0.1019487841,0.0671684977,0.0659825909,6823274898462.0,967794669909,0.016,2.535167447,0.7580828841,2.1679045591,-7.013795099062627,1.4964657456287593,150000000000000.0,4000000000.0,28.691196735,3.0981256977,5.8225074131,21.3434592365,189.96617431375,12104.0924931915,23.136647456
12,GVR,2021,3,23213058170121,7325879254255,8879988352636,2567273942566,3610527286106,829389334558,56154498223434,856285842212,32341210012246,1424082864132,3083539761815,3753233204603,79367556393555,25946205997138,8797935424571,17148270572567,53421350396417,53304357809391,10591031002,5884146488361,116992587026,4246441965032,79367556393555,587994956365,10518925510,3623088866164,0,4129633225959,40000000000000,40000000000000,7506876359903,494099758991,1969919088082,2659687927,3491208682313,354526105622,268108306538,715675849454,-0.0011641855472899864,6160837535669,1240537299054,0.2624838012120186,175462631625,-147071860353,6160837535669,-9793316372,6151044219297,-4061708499728,2089335719569,-176023070976,30166426046,-116240605132,-421390700946,1581310400186,130995783566,-42343368457,88652415109,1669962815295,-175465028038,38985586667,1533483373924,292946074870,1240537299054,1669962815295,628177457934,23402796260,10453230199,344105429468,155537227760,2831638956916,-153737083616,-433068626001,337108042739,308421360583,0,-677824946650,-14600001151,0,2197937702820,-75711482463,214756940535,-891256994985,142795602558,-52200400000,0,5240617483,-656375716872,-173929772214,-398030115753,-190832995396,-762792883363,778769102585,6557563381869,-10453230199,7325879254255,0.317919178,0.4856898189,0.6053985863752172,1.335533759910425,0.3248457351,0.8049684302,14.797335341826358,58.1137023054,15.4466449461,88.35768259332634,6.2807906831,0.2522668279026522,0.33967171183948813,0.20167913850500338,0.1047332777,0.0798320208,0.0692107771,7721446557948.0,1551704413491,0.0192926045,2.6384665322,0.8328138972,2.2280830602,-10.550654691975874,1.4856898188571104,124400000000000.0,4000000000.0,22.675880152,2.5297454325,4.8312633228,19.6300023508,310.1343247635,12293.7271078463,16.9394888868
