Symbol,Year,Quarter,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
REE,2013,1,3094734992068,1084975687509,606325751983,863476277034,496884165291,43073110251,3681468333413,0,40446515114,727917693609,2891128279211,0,21975845479,6776203325481,2863258292554,2075460039715,787798252839,3912715011644,3912715011644,0,489618221362,0,6776203325481,110399024617,0,511445287749,37831758023,70417784211,2446433850000,2446433850000,690257815300,628068148715,101490664604,0,248655364,889424761075,0,0,0.0,512929940102,384740078376,0.0,47197779786,-14597006052,512929940102,-168919339,512761020763,-371492201278,141268819485,-15637073206,0,-8754331719,-21823337471,142251856875,1545437553,274559944093,-477373619,1068063934,417879864902,-32741268551,-395849587,384742746764,2668388,384740078376,143319920809,15447173783,-1119366984,-10547528584,-35248081771,14597006052,126449123305,-16965231790,3809257552,-97539102996,-7786319,-6300172709,-13693610554,2783187176,-15103069717,-16567406052,-66748399,4054545,-270106232000,553668454000,-90303267921,35248304936,21329343751,249773908912,0,0,112849170142,-94561130444,-598773067,17689266631,250895769491,834707800990,-627882972,1084975687509,0.3787667363,0.7317829905,0.010337199359941537,0.7223587591368216,0.4018506256,61.9470339692,61.15397819258617,107.4497562129,32.2752573664,200.87899177188615,3.3969365112,0.21587278637188345,0.2755061593308883,0.7503301982734532,0.1287329613,10.0867216898,0.0870254465,718975510038.0,110691150295,0.0,1.4911079629,0.8568171266,1.251698793,-7.583140672866524,1.7318417787432598,6556369098400,244640638,12.6002055369,1.6756760199,2.7331909292,-395.0919204256,1572.6744400331395,15993.5451009395,8.7112033766
REE,2013,2,2682543039284,760025725790,474461209951,897870104668,496324240825,53861758050,3922617173967,0,38906162256,714612735908,3140630793628,0,28467482175,6605160213251,2163223650232,1392028727505,771194922727,4441703666673,4441703666673,0,1018513551355,0,6605160213251,142927974726,0,513531402897,48053396855,70417784211,2446433850000,2446433850000,673596808530,590961254561,94792443570,0,530447231,735487804995,0,0,0.0,611010337709,254853417630,0.0,106335866495,-12750720825,611010337709,-732243455,610278094254,-452705268980,157572825274,-29116708662,0,-14943744316,-48590773317,171257465474,1807674731,107481717871,-341183904,1466490827,280205674172,-31529161838,6180444829,254856957163,3539533,254853417630,554765618265,15483766974,-8832587,11544457267,-478744621424,12750720825,115791109320,10475655129,-5346776523,80667234254,-2377817251,-5723087344,-26017458857,2552381548,-10461049508,159560190768,-358595757,318181818,-369080768000,270831546000,-90279315661,-2941416532,116304215638,-75206152494,0,0,170163479341,-193515361909,-385762425065,-409114307633,-324760269359,1084975687509,-296974655,759918443495,0.3246470653,0.4870256578,0.00875928814160224,0.8200197406565694,0.3711835116,58.4904499358,65.66280326862231,107.6799268804,40.2109902241,213.5537203731223,3.3896754072,0.1540909112196659,0.25819839636652203,0.41760210636682144,0.2149389539,9.5221663713,0.1419135636,1074339634654.0,94038307641,0.0,1.9270744822,0.9499105007,1.5705270697,-7.3751365849546,1.4870780918616546,6189408141400,244640638,6.934038279,1.3934918006,2.6510418776,38.7908638784,1041.7460472368455,18155.8298282743,5.7689127979
REE,2013,3,2791166994452,804521118490,348896036662,1035904391366,542646917086,59198530848,4072248207253,0,38780323280,701317421168,3304959570956,0,27190891849,6863415201705,2221061815586,1403339986191,817721829395,4642117455544,4642117455544,0,1218900735303,0,6863415201705,246187260758,0,559813592154,40387989665,70417784211,2446433850000,2446433850000,690257815300,612440262420,259200444052,0,597629480,852524346158,0,0,0.0,560846649542,199869152218,0.0,125727659030,-14297282431,560846649542,-109551364,560737098178,-405296565675,155440532503,-22329327279,0,-10334261984,-20233102730,228271499540,1911792135,417081443,-175389894,1736402241,230424983224,-29209688672,-1343772575,199871521977,2369759,199869152218,230424983224,15098221875,5612838325,-85570515,-131588382738,14297282431,133759372602,-161494664048,-43021527882,-106598036878,2449422694,-6212254486,-36018237509,2397573057,-220104171,-214958456621,-5793369548,282727272,-121780356071,262887000000,-272320053142,84530178540,130744253614,78550380665,0,0,448126720725,-267057713473,-310558080,180758449172,44350373216,759918443495,252301779,804521118490,0.3532258909,0.4784587716,0.008354015953147702,0.8570197918772526,0.3504742066,58.4672712717,70.89747185168301,110.9988976656,40.9854649245,222.881834441783,3.2883209444,0.22269467847722169,0.27720750599179556,0.3564400373498271,0.236023724,12.8596481916,0.1519027133,1212334439069.0,124873167789,0.0,1.9889456738,0.8866088419,1.602263243,-8.734049172746596,1.4785095955528103,8358771324600,263683638,7.7113870825,1.8006376195,3.5669205721,-36.4364824583,757.9884506068594,17604.8748824681,7.0143255783
REE,2013,4,2533944607744,535795608464,416693781071,974698328461,544225285698,62531604050,4392508231552,0,41715151193,688047083066,3628846104919,0,33899892374,6926452839296,1725227384441,1370206464925,355020919516,5196648998117,5196648998117,0,1353702993223,0,6926452839296,107603320550,0,587081585207,46413218135,70417784211,2636863850000,2636863850000,237768269070,535150664935,285115492833,0,467827702,854925101755,0,0,0.0,729772196687,136330265720,0.0,87101818902,-15501103928,729772196687,-151823423,729620373264,-580804611270,148815761994,-32893639258,0,-15570262272,-75527269071,111926410295,2410578611,46217195919,-1560633399,849945212,158993551426,-28566240727,5829302303,136256613002,-73652718,136330265720,158993551426,15154698945,32017430174,3327834860,-99973719891,15501103928,125020899442,-36863964815,-27267993053,44596484768,-81150933,-42332626600,-30046255986,2610621303,-5367102651,30268911475,-4528850271,0,-164869249247,62348829081,-332811712292,90844503804,53534145844,-295482333081,4416660619,0,294191763447,-301828017731,-77662080,-3297255745,-268510677351,804521118490,-214832675,535795608464,0.1463742918,0.3373827118,0.008027317451710793,0.9593964576459544,0.3567782618,57.5269420859,89.37152190612379,111.1286285308,34.2139489589,234.71409939582378,3.2844821791,0.07910720803038171,0.20396327658486818,0.1868509579990461,0.2073490646,8.5726743295,0.1442571061,1205886934795.0,57718230651,0.0551724137,1.8035407896,0.7343557244,1.4204202053,-3.7234916247959755,1.3328690934880907,7646825502000,263683638,7.3191961796,1.4714989544,3.168477405,-175.5167798064,517.0220903884829,19707.7951780687,6.330538485
REE,2014,1,2251264707627,352359466608,346276278160,954922577928,539962093011,57744291920,4417764141507,0,40956426719,674790794330,3668238158071,0,33778762387,6669028849134,1675880380481,1341024113986,334856266495,4985692235113,4985692235113,0,1109821501255,0,6669028849134,134334545902,0,582818392520,38796819339,70417784211,2636863850000,2636863850000,237768269070,419464606003,363729171766,0,527832694,774256899490,0,0,0.07706519778732228,552458987387,231729505377,-0.39769855442370977,29829429772,-9122359119,552458987387,-627112745,551831874642,-388794730126,163037144516,-5463451133,0,-9641405019,-23371524393,154390193743,53595472629,71716328352,-1776746076,51818726553,277925248648,-46590789089,-181134979,231153324580,-576180797,231729505377,277925248648,15205192210,-5521390465,0,-100253148831,9122359119,196478260681,56930925358,4263201942,-200366655842,-572696779,-7228311514,-37349887617,2630717335,-479074766,14306478798,-240179000,0,-94823567000,122706000000,-47220163367,139134823000,15937906469,135494820102,3660000000,0,218664564221,-140050885288,-415511116625,-333237437692,-183436138792,535795614565,-9165,352359466608,0.168334841,0.3361379526,0.008214792407472325,0.9204499805573862,0.3624277347,61.1678932651,80.47233477386543,111.9832657226,41.1395273541,233.5951278505654,3.2594155711,0.2356228791393266,0.29544713164996145,0.4199277280373377,0.2277204294,8.3983138278,0.1621079481,1326254554777.0,130024215104,0.0425531914,1.6787652691,0.5847923891,1.2761162135,-14.253354138754116,1.3376334788909905,7491295934400,265648792,6.4652925569,1.5025588385,3.0549395377,495.6700116547,872.3152988288386,18767.9838390268,5.8363108957
REE,2014,2,2973930690841,962044058016,251044928015,1048038752721,653611268381,59191683708,4769033357417,0,512951406308,661534505594,3464924543591,89819404203,39803497721,7742964048258,2121276565885,1802321944110,318954621775,5211199024929,5211199024929,0,1315618379107,0,7742964048258,66605555723,0,704961478024,36843643336,70417784211,2656515390000,2656515390000,220658530520,830555691340,415145152509,0,408098170,837328383210,0,0,0.013898428636807195,619502421284,205797465142,-0.1924869320733229,169209625713,-12041430115,619502421284,-253967388,619248453896,-446976447874,172272006022,-14477172846,0,-12949612823,-4703839003,309351007063,1989679921,-69759671409,-498507501,1491172420,241082508074,-41467360779,6144469859,205759617154,-37847988,205797465142,241082508074,15382955509,-8761857308,172268154,-86348918822,12041430115,173568385722,24677496847,-112623358570,380916181321,46466640,-9910650919,-38153168399,3735049251,-2861139611,419395262282,-7333505819,0,94823567000,-122706000000,-97160254830,118269512939,142638334858,128531654148,28319472164,0,620075157655,-585768915462,-1527989571,61097724786,609024641216,352359466608,659950192,962044058016,0.1643503173,0.4070611304,0.09843251118488776,0.9620826587319128,0.3491170749,15.5197034497,86.50862355193826,121.9427351857,37.3987402955,245.85009903313826,2.9932082419,0.2496874287262532,0.2781952945350951,0.3323342413650382,0.1544698755,8.7259076295,0.1097411819,1967282565258.0,154618554196,0.0409556313,1.6500551971,0.7208851013,1.2874056325,-12.84054740336796,1.4858315737352776,7783509605600,265648792,9.7016001027,1.4936120398,3.1621800907,17.8981135097,774.6975380260717,19616.8745421172,3.7906447006
REE,2014,3,2983184535092,1159282898467,195786706759,991437121771,582745179843,53932628252,4749496356575,0,516006726766,648278216854,3462130044997,82334453853,40746914105,7732680891667,1856349066362,1518156430464,338192635898,5453927360175,5453927360175,0,1558294875723,0,7732680891667,116206288087,0,631173626490,43507238969,70417784211,2656515390000,2656515390000,238332852742,730591635902,268329194233,0,184172606,846398457945,0,0,0.1667704229317958,654379282486,243478291379,0.2181884431742369,158285504325,-9098065488,654379282486,-199016364,654180266122,-455797092688,198383173434,-9408044453,0,-10128852969,-32436644138,304695136199,1780887319,-12114573326,-2612216746,-831329427,291749233446,-37951512650,1167341948,254965062744,11486771365,243478291379,291724851636,31503337039,-3293311625,-213691495,-139397647487,9098065488,189421603556,49574983222,73787851535,-131214511614,1170753261,-7383141820,-41281069225,1122355764,-2717153981,132481670698,-22985969463,169287175,-248531379000,308728600000,-10870853507,1498039275,165247382666,193255107146,700527836,0,366456992821,-495905003700,237261145,-128510221898,197226555946,962044058016,12284505,1159282898467,0.13659787710000001,0.3403692318,0.09461195441177327,1.0068947491943807,0.3515351848,9.1932806137,84.63848202296627,122.1314960593,37.3671465662,244.13712464846628,2.9885820756,0.23818767455443407,0.3032545977120669,0.3721883767945899,0.156822026,8.657226043,0.1124601104,2040471035802.0,155817676327,0.0418118466,1.9650047091,0.9490959423,1.5811541597,-17.126462381757698,1.4178188268754064,7722245630400,269067792,9.1994269284,1.4159054788,3.0225461488,56.7551603383,904.8957125979612,20269.7146307835,3.4647023431
REE,2014,4,2966628104400,1036655683725,249839701655,1031341875227,598432151160,50358692633,5436599961513,0,563895510668,635021928112,4117399245545,79412761131,40870516057,8403228065913,2064942683194,1551100054954,513842628240,5910243592550,5910243592550,0,1939391674994,0,8403228065913,49613867487,0,644280881448,36408900877,70417784211,2690705390000,2690705390000,409904067962,690786774969,300900213273,0,273265509,928408727545,0,0,0.10222452144062194,804372810254,381056799271,1.795100539550243,101542454032,-7152018855,804372810254,-208812913,804163997341,-535397879422,268766117919,-12101376195,0,-12651183442,-70733836047,274822176267,3189645344,176656881963,-2976587699,213057645,451692115875,-44894646065,34509049,406831978859,25775179588,381056799271,451692115875,-4947664669,-9381813102,1682841352,-268251036389,7152018855,177946461922,33955834026,-13107254958,-19790206380,295922010,-12004450295,-37916432627,4025347328,-7204289421,126200931605,-13104767418,49800000,248531379000,-308728600000,-866055127218,378941839589,37033463023,-523332013024,0,0,714090918823,-434424309738,-3029108135,276637500950,-120493580469,1159282898467,-2133634273,1036655683725,0.1896242325,0.3493878333,0.09540985948173158,1.0911390722313137,0.342420729,8.6834220067,93.55553530092172,123.013088837,36.4305255757,252.9991497136217,2.967163929,0.23052648345731708,0.3342180435927072,0.4738545875356014,0.1912294089,0.0,0.1382987814,1356984258976.0,185381098430,0.0,1.9125778636,0.8853567726,1.5267647023,-25.920107621136857,1.4218073983457238,6780508358400,269067792,6.2954061237,1.1472760251,2.5787416283,9.6556962294,1416.2111207684047,21965.0715669693,4.7566188872
REE,2015,1,2886094293982,1096467589601,155120940255,1063261986868,560397705114,10846072144,5521902656017,0,543402847129,621765639376,4216164348290,71801053625,37848893987,8407996949999,2370700838191,1495628227414,875072610777,5616823903733,5616823903733,18430992409,1644135285550,0,8407996949999,38792732338,0,606038144647,0,218952010426,2690705390000,2690705390000,741209477562,706169671594,321772043697,0,2467398894,1003982940514,30919873610,30919873610,0.2259944122124312,677311631513,144897888680,-0.3747110949714147,48101940752,-15530742621,677311631513,-935507717,676376123796,-494377736541,181998387255,-16646478230,0,-11917776622,-37753793848,163782279307,361307738,14179749462,-411711813,-50404075,177911624694,-29455862646,-392881845,148062880203,3164991523,144897888680,177911624694,35195859490,1494286302,-361371695,-61353638339,15530742621,168417503073,-50187659280,38242736801,-41918937769,-643987630,-7908759695,-42625591734,5856944119,-707394043,68524853842,-30780792022,0,-35861755300,0,0,2880000,105547333444,38907666122,0,0,471793509895,-119616269871,-399796670356,-47619430332,59813089632,1036655683725,-1183756,1096467589601,0.0,0.0,0.0967455730217657,1.0369684306973923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1956408751425867,0.26907866917829293,0.21422679420851684,0.0,0.0,0.0,0.0,132326816785,0.0340136054,0.0,0.0,0.0,-8.520314837107234,1.4969308445669727,7910593084800,269067792,8.0384796058,1.4083891506,2.8724337642,10.5000555789,538.5181466832715,20874.9122984921,6.4653494489
REE,2015,2,3119210428147,1271166573992,200641029758,1176362320638,457402671709,13637832050,5459033862300,26000000000,480977885261,609012766347,4141588421294,0,98652604865,8578244290447,2339257207906,1540447688523,798809519383,6238987082541,6238987082541,18430992409,1878408965061,387832163062,8578244290447,41301591829,0,502577884523,0,218951946408,2690705390000,2690705390000,665151631351,690489797660,388498642263,63682317493,190544671,1031734454711,42371429882,68371429882,0.10425856809910766,684090856661,237644571481,0.15474975028008986,231315412349,-19975052008,684090856661,-328980526,683761876135,-429675350593,254086525542,-21082154687,-108930729193,-15043169544,-40633638041,299712246426,3243493827,0,-99134734,3144359093,302856605519,-44434371869,-601752392,257820481258,20175909777,237644571481,302856605519,33937145472,5998471265,81595711,-121119209428,19975052008,241729660547,-145208070756,103460260124,-2929745894,-19185826,-13361797322,-36457638974,0,-2799281819,144330870080,-12700895145,1200204545,35861755300,0,-167562339119,50235601483,216561826461,123596153525,0,0,174681853410,-184013101055,-84484947707,-93816195352,174110828253,1096467589601,588156138,1271166573992,0.2754937432,0.3749418258,0.07709230342966321,1.1518311335742708,0.340374311,5.3576107469,88.24626589748249,113.5865589113,35.5214013722,237.3542261809825,3.2134083777,0.290173706493438,0.37160089558990544,0.34755457970879927,0.1734846398,0.0,0.1216198278,1371654135838.0,198409717957,0.0390625,2.0248726727,0.9061378136,1.7279442699,-9.932876163603328,1.374941825805684,6888135475200,269067792,6.8035837553,1.1772386637,2.4439165592,14.5306035247,883.2144855189506,21745.8029452976,4.8631932792
REE,2015,3,3291972869573,1357884807696,244294939581,1269771460984,405604235587,14417425725,5798104523021,26000000000,471095746761,596975523341,4333976753875,0,92106684550,9090077392594,2638422224906,1895081284773,743340940133,6451655167688,6451655167688,18430992409,2086718890881,392121168175,9090077392594,65892910146,0,449645598575,0,218952097514,2690705390000,2690705390000,606803708852,1012713789522,465016814587,55817095674,2139754712,1052037310059,43816931872,69816931872,-0.05036457552994903,621421747688,208290684339,-0.14452051080491085,31489545225,-19860575399,621421747688,-332726430,621089021258,-420197929312,200891091946,-23326557230,85690657253,-12133209087,-38672866770,243938661337,1220751537,0,-608871352,611880185,244550541522,-32325703654,-629908537,211594929331,3304244992,208290684339,244551669918,31696675552,1292734389,2099043433,-116676106984,19860575399,182824591707,-112058646387,52932285948,296460607808,350043956,-24783380745,-43149998016,0,-706604677,350984945605,-175614200198,154340910,0,0,-149863684494,627836948,43798352232,-280897354602,1000000000,0,192372374472,-177902124647,-226689043,15243560782,85331151785,1271166573992,1387081919,1357884807696,0.0,0.0,0.07301936239872237,1.1910935520324564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24164815501811096,0.32344975530093933,0.33536365514417327,0.0,0.0,0.0,0.0,150085016089,0.0387596899,0.0,0.0,0.0,-7.556931915303769,1.40895276581428,6956042825400,269614063,7.130477915,1.1456359362,2.4973308161,10.0429304096,772.5512609444263,22520.2432865123,4.9946998198
