Symbol,Year,Quarter,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term trade receivables (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Good will (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Other current assets (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),MINORITY INTERESTS,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Net Sales,Cost of Sales,Gross Profit,Financial Income,Financial Expenses,Interest Expenses,General & Admin Expenses,Operating Profit/Loss,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Sales,Other income,Other Income/Expenses,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Cash and Cash Equivalents at the end of period,_Increase/Decrease in receivables,_Increase/Decrease in payables,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
VDS,2020,3,2210155631405,216595830088,1914151668028,48339015983,31069117306,53643592022,0,19389522065,0,0.0,34254069957,2263799223427,1168229733141,1167617100141,612633000,1095569490286,1095569490286,0,54617021960,2263799223427,709153425,0,1000999060000.0,1000999060000,0,1964438000,250854000000,1083206437,0,0,0.0,86470694952,0.08798640221098297,37111878443,3.0360303594995686,86470694952,-16694032016,69776662936,2686227681.0,-250000000.0,0.0,-26300833285,45912057332,275537196,46187594528,-9963366984,887650899,37111878443,0,37111878443,86470694952,275537196,0,46187594528.0,1664373797.0,0.0,0.0,-9044791674.0,6094927629.0,-571591423.0,-298234599158.0,0.0,0.0,-170322142880.0,707397970.0,0.0,-2663548595.0,0.0,0.0,-290315138980.0,-418124400.0,263636364.0,0.0,0.0,0.0,2686227681.0,2531739645.0,0.0,0.0,733339000000.0,-584071000000.0,0.0,149268000000.0,-138515399335.0,355111229423.0,216595830088.0,-1619145345.0,581787281.0,0.228971327,1.0663218933,0.01769812160426112,0.4098651291754583,0.1494371513,17.2198495391,0.0,150.1748644774,0.0,0.5027810829453088,0.8069400040641875,0.4291844591234158,0.0484467651,0.039833541,0.0228356999,59752413487.0,43475829651.0,0.0223880597,1.8928770666,0.3817244263,1.8928770666,0.0,2.0663218933159886,1.2243301336,1341338740400,100099906,26.6441326613,4.0715271414,10.6968897038,370.74838454893256,10944.7604305043,23.021612518
VDS,2020,4,2514895660024,582254424536,1907077859197,22622403008,2940973283,53459927125,0,19168541889,0,0.0,34291385236,2568355587149,1402839017010,1390463539965,12375477045,1165516570139,1165516570139,0,109553873535,2568355587149,1821797251,0,1000999060000.0,1000999060000,0,1729878000,69594000000,832347316,0,0,0.0,203366074792,1.5933298935944815,99977051653,458.63813225801016,203366074792,-59020319851,144345754941,2735131702.0,-324000000.0,0.0,-16794436514,129962450129,28987881,129991438010,-18251542312,-11762844045,99977051653,0,99977051653,203366074792,28987881,0,129991438010.0,1691770176.0,-31980.0,144000000.0,-2735131702.0,0.0,-351937745.0,125656736302.0,0.0,0.0,20947383035.0,49488148.0,0.0,-13323327568.0,0.0,0.0,197113792546.0,-1470790000.0,0.0,0.0,0.0,0.0,2735131702.0,1264341702.0,0.0,0.0,796380000000.0,-629099000000.0,-539800.0,167280460200.0,365658594448.0,216595830088.0,582254424536.0,-344432328.0,1135078910.0,0.0597108628,1.2036199681,0.01644639156585646,0.43603313510624764,0.1866886001,23.8207682721,0.0,162.9439934994,0.0,0.627200571960971,0.7097828636788847,0.4916112569672948,0.1357801376,0.1480486361,0.061670227,189284344601.0,127551318427.0,0.0512820513,1.808674293,0.7763935336,1.808674293,0.0,2.203619968133698,1.3397995135,1561558533600,100099906,10.4032963703,3.4365978875,19.561942618,998.7726826936281,11643.5331131979,8.0603001061
VDS,2021,1,2891031489573,227110322463,2621155176806,22235181369,20530808935,72010327827,0,17663488014,0,18256289311.0,54346839813,2963041817400,1673509784943,1670857008844,2652776099,1289712032457,1289712032457,81619525,209730295415,2963221817400,4640318185,0,1000999060000.0,1000999060000,0,2272378000,142974000000,2297857027,0,0,23855801388.0,209709743063,1.8131378483594625,100176421880,2.1335453269788256,209709743063,-52097363610,157612379453,7446761711.0,-219000000.0,0.0,-36625771104,128214370060,-19197979,128195172081,-35358479312,9699125946,102535818715,2196157785,100176421880,209709743063,38302112,-57500091,128195172082.0,1769466394.0,0.0,0.0,-7455852619.0,0.0,-4449266477.0,-723928102624.0,5851978000.0,0.0,-18979940930.0,-1966174925.0,0.0,-15379674928.0,0.0,0.0,-600322448761.0,-36850000.0,9090908.0,0.0,-26449919931.0,0.0,7446761711.0,-19030917312.0,0.0,0.0,1398943000000.0,-1104770000000.0,-29963736000.0,264209264000.0,-355144102073.0,582254424536.0,227110322463.0,-5259081776.0,2887322786.0,0.11315079778432846,1.3216447830200195,0.013695683663856113,0.48249608397194166,0.2362261861562729,30.75588607788086,0.0,182.30332946777344,0.0,0.5769241170290013,0.7515739476427228,0.47769083313361116,0.29556596279144287,0.28103798627853394,0.13569365441799164,401980915712.0,120986608349.0,0.0,1.7030925750732422,0.35808321833610535,1.7030925750732422,0.0,2.297444501432757,1.9339554663,2443688948250,105104901,7.2159053022,4.1449789577,-3.9307725076,953.1089504570296,12021.9934766981,5.9898838222
VDS,2021,2,3403838793846,202401689581,3167796412423,26327392864,7313298978,101255556078,0,21985526257,25000000000,14619131169.0,52215779821,3505094349924,2056938592033,2036412182359,20526409674,1448155757891,1448155757891,0,357920123762,3505094349924,5510549243,0,1000999060000.0,1000999060000,0,2888678000,142941000000,3855190813,25000000000,0,26628676525.0,324583389804,2.606181876461552,148189828347,0.46161425742112483,324583389804,-113131277327,211452112477,6269548947.0,-462000000.0,0.0,-29737088980,187522572444,442605875,187965178319,-22196928492,-16902661892,148865587935,838998638,148189828347,324583389804,442605877,-2,193007368685.0,1900022456.0,0.0,35000000.0,-6498846028.0,0.0,333193074.0,-321255859360.0,-4169080000.0,0.0,136354694728.0,-3979540659.0,0.0,-34870386112.0,0.0,0.0,-203597296345.0,-8230798200.0,418181817.0,40800000000.0,-26449919931.0,0.0,6080664211.0,12618127897.0,0.0,0.0,1131693000000.0,-916966000000.0,-190052700.0,214536947300.0,23557778852.0,178843910729.0,202401689581.0,1754873121.0,12208664968.0,0.0987055427,1.4203849143,0.015181741423324721,0.5417717014182566,0.2924829138,42.24951514,0.0,63.8655113958,0.0,0.5598407965568688,0.6514569725970437,0.45655394885266487,0.3100500568,0.2977372542,0.1367976746,480708900248.0,181715023497.0,0.0,1.6714881316,0.4833822525,1.6714881316,0.0,2.4203849142778617,2.4029803282,3415901612500,105104665,8.8619943041,4.1448582337,-4.3603844922,1409.9262706084453,13524.8714352117,7.0376679061
VDS,2021,3,3787046508432,170973233501,3565804703303,28329636833,21938934795,100154519949,0,20169021547,25000000000,14619131169.0,51863443402,3887201028381,2365638333070,2350162677178,15475655892,1521562695311,1521562695311,0,382100789612,3887201028381,7728127950,0,1051046650000.0,1051046650000,0,2869678000,303260000000,3502854394,25000000000,0,27459290295.0,221087362748,1.5567894749860158,74228255851,1.0001212270892434,221087362748,-110883000831,110204361917,9060118625.0,-332000000.0,0.0,-25446138472,93486342070,12963634,93499305704,-23491189866,5050753782,75058869620,830613769,74228255851,221087362748,12963634,0,93499305704.0,1990077010.0,0.0,0.0,-9136027716.0,0.0,-4670271270.0,-586646474422.0,4459080000.0,0.0,-137082091199.0,933844697.0,0.0,-22018897631.0,0.0,0.0,-470374106496.0,-1241377300.0,909091.0,0.0,-25000000000.0,0.0,9135118625.0,-17105349584.0,0.0,0.0,1604445000000.0,-1148394000000.0,0.0,456051000000.0,-31428456080.0,202401689581.0,170973233501.0,-5543120678.0,-46734850.0,0.1993082513,1.5547425948,0.013255465324665804,0.5692340798020951,0.2974191889,48.6645424342,0.0,46.260928445,0.0,0.3833698244508403,0.49846522454842085,0.3357417399546573,0.3130852268,0.2822253225,0.1310887505,520326920245.0,84758223445.0,0.0,1.6113976046,0.318156326,1.6113976046,0.0,2.5547425948074225,2.2862551555,3415901612500,105104665,8.0836051315,3.562882745,-6.9276900907,706.2317914338055,14215.386205893,6.8719251881
VDS,2021,4,3920238302698,473558363475,3416193638138,19287071159,11199229926,112915805873,0,32503047037,25000000000,12994783261.0,52057378236,4033154108571,2387290809084,2322942181672,64348627412,1645863299487,1645863299487,0,442391853566,4033154108571,1536612512,0,1051046650000.0,1051046650000,0,2547128000,241468000000,5018737136,0,0,24669427913.0,266720386448,0.3115284184975194,103070446557,0.030941049499404565,266720386448,-121742666079,144977720369,8616859738.0,-641000000.0,0.0,-28651855997,124301724110,90267806,124391991916,-30036173420,5924765680,100280584176,-2789862381,103070446557,266720386448,90267806,0,124391991916.0,2551371210.0,-75920.0,47000000.0,-8400340553.0,0.0,699056863.0,188135442224.0,0.0,0.0,28020783165.0,-6360522009.0,0.0,-23461006472.0,0.0,0.0,324288896721.0,-15118722300.0,545455.0,0.0,0.0,0.0,8399795098.0,-6718381747.0,0.0,0.0,2314312000000.0,-2329136000000.0,-161385000.0,-14985385000.0,302585129974.0,170973233501.0,473558363475.0,9732860615.0,-11555423102.0,0.1467120629,1.4504793988,0.019748327243903484,0.6157363634444445,0.3096567063,39.5614261425,0.0,24.7308629765,0.0,0.43613413253163147,0.5435569522814296,0.38643632730749167,0.3028156794,0.2669301992,0.1289598811,511951144234.0,116325864372.0,0.0569259962,1.6876176831,0.4675949585,1.6876176831,0.0,2.4504793987617903,1.7083138367,2769507922750,105104665,6.5063094944,2.7096228874,-2.8147832289,980.6457834863943,15424.5662794701,5.7217451558
VDS,2022,1,5293846413851,406260395645,4802043538843,59600667768,25941811595,118589191715,337273955,30682396489,32500000000,12994783261.0,51714140671,5412435605566,3707025810174,3596477062975,110548747199,1705409795392,1705409795392,0,546804240260,5412435605566,9133286903,0,1051046650000.0,1051046650000,0,7563228000,1107955999112,4644591708,32500000000,337273955,23975682224.0,293814774434,0.40105447721488824,103336478883,0.03154491789280905,293814774434,-143640472088,150174302346,9923517932.0,-1621602705.0,-1086602705.0,-28550192514,129926025059,16736360,129942761419,-21195163427,-5028956987,103718641005,382162122,103336478883,293814774434,16736360,0,129942761419.0,2744650548.0,0.0,0.0,-9735517932.0,0.0,-5832252371.0,-1520604874711.0,-25820750000.0,0.0,-19190053927.0,1096937004.0,0.0,-30244387675.0,0.0,0.0,-1423830484874.0,-924000000.0,0.0,0.0,-7500000000.0,0.0,9735517932.0,1311517932.0,0.0,0.0,3235411000000.0,-1880190000888.0,0.0,1355220999112.0,-67297967830.0,473558363475.0,406260395645.0,-14218584310.0,18359659248.0,0.6496714175,2.1736862426,0.01799121628825138,0.6380133914672652,0.2627897524,42.0051644002,0.0,34.7471194743,0.0,0.4139482436385124,0.51111896137726,0.35170620361779187,0.2713656592,0.1792952847,0.101871466,511619265360.0,121624109832.0,0.0877192982,1.4719533369,0.4404898154,1.4719533369,-111.93061573687137,3.1736862425619616,1.0689028832,1797289771500,105104665,4.1911962481,1.6247334693,-1.5554187839,983.1769016437091,15997.711549416,4.9313253585
VDS,2022,2,4051238246264,729789391485,3249325676524,31640484334,40482693921,124380945066,0,31819763150,32500000000,11370435354.0,55964121060,4175619191330,2701287370623,2577984284352,123303086271,1474331820707,1474331820707,0,306353959665,4175619191330,14843102926,0,1051046650000.0,1051046650000,0,9678678000,376584999112,9496525049,32500000000,0,19188191834.0,146209198243,-0.549548119725755,-239374372784,-2.6153225592750067,146209198243,-391317613210,-245108414967,7524420186.0,-9315703628.0,-1731703628.0,-32221914308,-279121612717,24259377,-279097353340,21195163427,12664418928,-245237770985,-5863398201,-239374372784,146209198243,24259378,-1,-279097353341.0,2575004339.0,0.0,7094000000.0,-7523705969.0,0.0,312855488.0,1301939135898.0,25820750000.0,0.0,-10634435852.0,-13051541364.0,0.0,-21195163427.0,0.0,0.0,1303682341127.0,-4454051256.0,0.0,0.0,0.0,0.0,7523705969.0,3069654713.0,0.0,0.0,1082786000000.0,-2066009000000.0,0.0,-983223000000.0,323528995840.0,406260395645.0,729789391485.0,815807013.0,11340356792.0,0.2554275732,1.8322112653,0.021582497713941474,0.5515644671556303,0.2119739543,32.2235880783,0.0,5.6434349448,0.0,-1.8968049384558994,-1.6764226732139609,-1.6372046058700034,0.0260026588,0.0245164277,0.0094265119,53248894470.0,-277330329275.0,0.1666666667,1.5714751524,0.6214924994,1.5714751524,160.14884117052853,2.8322112652548097,0.9305183435,1890000000000,210000000,35.8551529101,2.0370073101,7.2470223443,-1139.8779656380952,9672.0285660619,29.2209597016
