,ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Good will (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Minority Interest_x,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),_Other Reserves,MINORITY INTERESTS,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Net Sales,Cost of Sales,Gross Profit,Financial Income,Financial Expenses,Interest Expenses,General & Admin Expenses,Operating Profit/Loss,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest_y,Attributable to parent company,Sales,Other income,Other Income/Expenses,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Profit/Loss from investing activities,Interest Expense,Interest income and dividends,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Cash and Cash Equivalents at the end of period,_Increase/Decrease in receivables,_Increase/Decrease in payables,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
0,VIX,2010,1,344030887545,91320479941,0,39107078267,0,613404117,103563549921,12293247915,87500000000,0,3770302006,447594437466,108913406434,108767781893,145624541,338681031032,338681031032,0,35154939248,0,447594437466,0,0,3000000,0,0,301763045892,0,446078000,10000000000,3055013942,0,0,0,13538860073,0.0,3420133914,0.0,13538860073,-4124303313,9414556760,0,0,0,-4854378208,4560178552,0,4560178552,-1140044638,0,3420133914,0,3420133914,13538860073,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49278576437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000000000.0,0.0,0.0,20000000000.0,-29278576437.0,120599056378.0,91320479941.0,0.0,0.0,0.0,0.0,0.03629742084326678,0.02211534725294614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33682145523419504,0.69537292720641,0.2526160914256463,0.0,0.0,0.0,0.0,4560178552,0.0,0.0,0.0,0.0,1.3215810643487425,1.6196340555,543000000000,0.0,15.5266697799,6.0871365416,0.0,0.0,11175.3639276667,9.8405275618
1,VIX,2010,3,510380552477,97185966841,165903428171,245902780553,55788648,1332588264,13481639065,10836613968,0,0,2645025097,523862191542,166679673304,166534048763,145624541,357182518238,357182518238,0,53656426454,0,523862191542,46390000,55788648,693046750,0,301763045892,301763045892,0,86231923820,0,2640025097,0,0,0,34102882751,0.0,15230439964,0.0,34102882751,-8322731871,25780150880,0,0,0,-5472736088,20307414792,0,20307414792,-5076974828,0,15230439964,0,15230439964,34102882751,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46184228282.0,-67930500.0,0.0,27358369318.0,0.0,0.0,0.0,0.0,27290438818.0,0.0,30000000000.0,0.0,0.0,30000000000.0,11106210536.0,91320463441.0,102426673977.0,0.0,0.0,0.0,0.0,0.03033914991544822,0.02332346573838317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5954750201111525,0.7559522480322883,0.44660271318422184,0.0,0.0,0.0,0.0,20307414792,0.0,0.0,0.0,0.0,1.4666512631307924,0.7895123238,282000000000,30000000.0,10.5316097391,3.2785743234,-6.1059805585,507.68133213333334,11906.0839412667,4.8658463214
2,VIX,2011,3,480493626680,191363541939,51112596274,236884655402,0,1132833065,10626015552,6230970031,0,0,4395045521,491119642232,142311917399,142311917399,0,348807724833,348807724833,0,44536600923,0,491119642232,8659281736,0,565590100,0,300000000000,300000000000,0,850407548,95000000000,1933841109,0,0,0,12236777623,-0.6411805502676696,5416459551,-0.644366179584909,12236777623,-1162235457,11074542166,0,0,0,-3961300312,7113241854,0,7113448706,-1696989155,0,5416459551,0,5416459551,12236777623,206852,206852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141741606724.0,-6012175742.0,0.0,0.0,0.0,0.0,0.0,0.0,-6012175742.0,0.0,95000000000.0,-26000000000.0,0.0,69000000000.0,-78753782466.0,270117324405.0,191363541939.0,0.0,0.0,0.0,0.0,0.017863623960688444,0.022776604688152815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5813002469400191,0.9050211180747875,0.44263773665538647,0.0,0.0,0.0,0.0,7113241854,0.0,0.0,0.0,0.0,1.4079953145164295,0.2752232624,96000000000,30000000.0,-11.5303066236,2.2870790201,-0.6812690847,180.5486517,11626.9241611,0.0522685734
3,VIX,2011,4,337925237762,264831972069,41277627024,31376243869,0,439394800,18296456560,12839003976,0,0,5457452584,356221694322,6985614949,6985614949,0,349236079373,349236079373,0,44964955463,0,356221694322,692000000,0,360598940,0,300000000000,300000000000,0,0,0,2996248172,0,2135561955,0,26284521151,0.0,428354539,0.0,26284521151,-10021654871,16262866280,0,0,0,-16194120009,68746271,-524335260,762067594,-333713055,0,428354539,0,428354539,26284521151,693321323,1217656583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258338579128.0,-6035128651.0,0.0,0.0,1793825232.0,-223852618818.0,112223773239.0,0.0,-115870148998.0,0.0,488097000.0,-69488097000.0,0.0,-69000000000.0,73468430130.0,191363541939.0,264831972069.0,0.0,0.0,0.0,0.0,0.03676310878031407,0.022804575576781002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002615465984906654,0.6187240842841558,0.016296836322000227,0.0,0.0,0.0,0.0,68746271,0.0,0.0,0.0,0.0,1.020002558044809,0.8754898401,315000000000,30000000.0,48.5505647034,5.6697084554,1.2806573113,14.278484633333333,11993.2859506,2.3955617417
4,VIX,2012,1,353937820189,293820522688,56666545864,2681394147,0,769357490,17227041270,12456450773,0,0,4770590497,371164861459,11366282941,11366282941,0,359798578518,359798578518,0,55527454608,0,371164861459,672000000,0,416100572,0,300000000000,300000000000,0,0,0,1993413464,0,2135561955,0,10390922993,-0.23251123529061382,10553072686,2.0855729487088146,10390922993,5521345842,15912268835,0,0,0,-1586541854,14325726981,-257963400,14070763581,-3517690895,0,10553072686,0,10553072686,10390922993,-254963400,3000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5461177988.0,0.0,0.0,26246746050.0,578576071.0,0.0,0.0,-3297949490.0,23527372631.0,0.0,0.0,0.0,0.0,0.0,28988550619.0,264831972069.0,293820522688.0,0.0,0.0,0.0,0.0,0.03462062252804823,0.023494290426587724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3786770425159285,1.531362405988336,1.0156049364535984,0.0,0.0,0.0,0.0,14325726981,0.0,0.0,0.0,0.0,1.0315906832867918,1.0422498097,375000000000,30000000.0,16.0846423546,5.6424538339,68.6665039711,351.76908953333333,11993.2859506,2.4887121902
5,VIX,2012,2,407103562188,202683589866,199467902041,4397374337,0,554695944,15975096352,11559849225,0,0,4415247127,423078658540,84492678104,84492678104,0,338585980436,338585980436,0,33661456526,0,423078658540,672000000,0,334934900,2462261955,300000000000,300000000000,0,380878000,33217988722,1638070094,0,0,0,24288311020,0.0,9102401918,0.0,24288311020,-11740405047,12547905973,0,0,0,-1358941723,11188964250,-4808234,11191788950,-2089387032,0,9102401918,0,9102401918,24288311020,2824700,7632934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89183047650.0,0.0,0.0,150832115566.0,1496522870.0,0.0,0.0,-157555612330.0,-5226973894.0,0.0,80232368891.0,-47014380169.0,-29944900000.0,3273088722.0,-91136932822.0,293820522688.0,202683589866.0,0.0,0.0,0.0,0.0,0.034141547178398485,0.02210914059610819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4606728002118609,0.5166232416353502,0.3747647133843397,0.0,0.0,0.0,0.0,11188964250,0.0,0.0,0.0,0.0,1.249545707696456,0.8771774886,297000000000,30000000.0,11.6469269647,4.0573475177,-3.3302293185,303.41339726666666,11286.1993478667,3.4887017972
6,VIX,2012,3,255816119337,66437366128,185830817255,3130508802,0,417427152,14846185243,10735026819,0,0,4111158424,270662304580,10101880790,10101880790,0,260560423790,260560423790,0,-44364100120,0,270662304580,672000000,0,307126900,0,300000000000,300000000000,0,0,0,1333981391,0,2462261955,0,4855039361,-0.6032420045065977,-78025556646,-15.405268960532482,4855039361,-81504751847,-76649712486,0,0,0,-1375844160,-78025556646,0,-78025556646,0,0,-78025556646,0,-78025556646,4855039361,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-114848246613.0,0.0,0.0,154012641966.0,586954310.0,0.0,0.0,-142779584679.0,11820011597.0,0.0,76557727618.0,-109775716340.0,0.0,-33217988722.0,-136246223738.0,202683589866.0,66437366128.0,0.0,0.0,0.0,0.0387698202,0.04119975959070419,0.01701419248350583,0.1852579551,5.5321149005,84.05788664013326,0.0,1.5455376122,85.60342425233326,0.0,-16.07104512329411,-15.787660364140146,-16.07104512329411,-0.1771673025,7.1678277709,-0.1630866385,-48366759763.0,-78025556646,25.3236129642,34.3034468343,25.3236129642,0.0,1.0387698202323377,1.0937961945,285000000000,30000000.0,-4.9187349477,4.3300701882,0.0,-2600.8518882,8685.3474596666,-4.518860369
7,VIX,2012,4,254064760767,249444746745,2062459926,2233066195,0,324487901,14634388369,10907446958,0,0,3726941411,268699149136,1361901612,1361901612,0,267337247524,267337247524,0,-37587276386,0,268699149136,0,0,307126900,2462261955,300000000000,300000000000,0,0,0,949764378,0,0,0,2672418684,-0.8983272828655535,7115971275,15.612340076078896,2672418684,1220714101,3893132785,0,0,0,-2105674179,1787458606,-278565258,1508893348,5607077927,0,7115971275,0,7115971275,2672418684,-278565258,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182025101628.0,0.0,0.0,26817799294.0,51192551.0,0.0,0.0,-25886712856.0,982278989.0,0.0,68780195215.0,-68780195215.0,0.0,0.0,183007380617.0,66437366128.0,249444746745.0,0.0,0.0,0.0,0.0301630092,0.040800326400535686,0.017456708586910678,0.1334952546,3.4544515744,132.11258757646743,0.0,1.3803571495,133.49294472596745,0.0,0.6688542542759741,1.456782505042537,2.662745668410392,-0.1662521713,0.0,-0.1621112727,-48035703650.0,1787458606,32.5109077776,31.0448957664,32.5109077776,0.0,1.005094320468298,0.9217714092,252000000000,30000000.0,-4.9166788034,5.9706171631,-15.8341041833,237.1990425,9112.8884183666,-0.9971552525
8,VIX,2013,1,268090281485,204100945796,51856972942,4327481426,0,7804881321,13542535194,9879051285,0,0,3663483909,281632816679,8246164128,8246164128,0,273386652551,273386652551,0,-31537871359,0,281632816679,0,0,307126900,2462261955,300000000000,300000000000,0,0,0,585325362,0,0,0,8534639025,-0.17864476228440085,6049405027,-0.4267636349150415,8534639025,-1554846038,6979792987,0,0,0,-1206641154,5773151833,-275696806,6049405027,0,0,6049405027,0,6049405027,8534639025,276253194,551950000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46844419474.0,0.0,551600000.0,25808729711.0,744663041.0,0.0,0.0,-25604374227.0,1500618525.0,0.0,0.0,0.0,0.0,0.0,-45343800949.0,249444746745.0,204100945796.0,0.0,0.0,0.0,0.0301630092,0.03613582152902316,0.01785172537435273,0.1297364717,3.7464364828,134.95530406965355,0.0,1.448889788,136.40419385765355,0.0,0.6764377281908533,0.8178193555174995,0.7088061966393476,-0.195663588,7.8126907395,-0.1792749512,-57605277605.0,5773151833,32.5109077776,31.0448957664,32.5109077776,0.0,1.0301630092437,0.8778775326,240000000000,30000000.0,-4.3043321806,5.9478952347,-5.1233423894,201.64683423333332,9112.8884183666,-0.6231903689
9,VIX,2013,2,273804857121,209642285637,51481755495,5000157669,0,7680658320,12484278738,8642159614,0,0,3842119124,286289135859,6414573035,6414573035,0,279874562824,279874562824,0,-25049961086,0,286289135859,0,0,307126900,2462261955,300000000000,300000000000,0,0,0,763960577,0,0,0,9361402091,-0.6145717138054007,6568762732,-0.2783484193320148,9361402091,-1384691253,7976710838,0,0,0,-1574675282,6402035556,-45386461,6568762732,0,0,6568762732,0,6568762732,9361402091,166727176,212113637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52146327748.0,0.0,81200000.0,5512078499.0,2937622431.0,0.0,0.0,-55135888837.0,-46604987907.0,0.0,0.0,0.0,0.0,0.0,5541339841.0,204100945796.0,209642285637.0,0.0,0.0,0.0,0.0243585364,0.030878689105571375,0.018275375875817616,0.0918409831,2.5319887222,219.56170092301008,0.0,1.9490021809,221.5107031039101,0.0,0.6838757158134336,0.8520850573942087,0.7016857804147919,-0.2156627238,6.6407871285,-0.2105745188,-63707776578.0,6402035556,40.3737397737,38.1032327303,40.3737397737,0.0,1.0229194570963343,0.7190280827,204000000000,30000000.0,-3.4996575543,8.0240724814,3.9120683816,218.95875773333333,9457.2105914333,0.0929100379
10,VIX,2013,3,279019454497,209919091940,53336549046,8052391342,0,7711422169,11607777520,8029004260,0,0,3578773260,290627232017,6910914274,6910914274,0,283716317743,283716317743,0,-21208206167,0,290627232017,0,0,307126900,2462261955,300000000000,300000000000,0,0,0,500614713,0,0,0,5743898204,0.18307963682850975,3841754919,1.0492371356788897,5743898204,-1056687392,4687210812,0,0,0,-845455893,3841754919,0,3841754919,0,0,3841754919,0,3841754919,5743898204,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370022408.0,0.0,0.0,1100568077.0,5116569.0,0.0,0.0,-1198900751.0,-93216105.0,0.0,0.0,0.0,0.0,0.0,276806303.0,209642285637.0,209919091940.0,0.0,0.0,0.0,0.0243585364,0.02829940950831368,0.018526236527314725,0.093368452,2.8098238402,217.65231032794992,0.0,58.4407533183,276.0930636462499,0.0,0.6688410522882589,0.8160330572599402,0.6688410522882589,0.085395557,9.5705461559,0.0836582082,17968816026.0,3841754919,40.3737397737,38.1032327303,40.3737397737,0.0,1.0243585364739582,1.0362463545,294000000000,30000000.0,12.4703648814,11.1734569723,794.5464751421,128.0584973,9457.2105914333,4.6792681241
11,VIX,2013,4,305901308717,239253458672,54881164006,4238242718,0,7528443321,11052456780,7520265621,0,0,3532191159,316953765497,7336582698,7336582698,0,309617182799,309617182799,0,4692658889,0,316953765497,0,0,307126900,2462261955,300000000000,300000000000,0,0,0,454032612,0,0,0,0,-1.0,25952865056,2.647128979732988,28416896148,-1157888084,27259008064,0,0,0,-1306143008,25952865056,0,25952865056,0,0,25952865056,0,25952865056,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26405320187.0,0.0,0.0,1678426256.0,2964972757.0,0.0,0.0,-1714352468.0,2929046545.0,0.0,22081667000.0,-22081667000.0,0.0,0.0,29334366732.0,209919091940.0,239253458672.0,0.0,0.0,0.0,0.23858943,0.024288915598983638,0.02021752293659407,0.1755988181,5.6505578281,104.03658142439353,0.0,32.0393330826,136.07591450699354,0.0,0.9132899286689542,0.9592535343068601,0.9132899286689542,0.1470230073,0.0,0.1430673865,42553899795.0,25952865056,5.0499035964,4.2223258956,5.0499035964,0.0,1.0236956574298488,1.1682049666,372000000000,30000000.0,8.7709396122,7.14603561,11.597003793,865.0955018666667,10614.5756561333,1.2384922624
12,VIX,2014,1,383670297453,319297324365,1445152168,55046969621,0,7880851299,10742738921,6907951939,0,0,3834786982,394413036374,75975766690,75975766690,0,318437269684,318437269684,0,13512745774,0,394413036374,0,0,307126900,2462261955,300000000000,300000000000,0,0,0,373715366,0,0,0,0,-1.0,8835086885,0.46048856797764554,12027783984,-1682347126,10345436858,0,0,0,-1510131451,8835305407,-218522,8835086885,0,0,8835086885,0,8835086885,0,-218522,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80002512959.0,0.0,0.0,4271810540.0,12525711.0,0.0,0.0,-4242983517.0,41352734.0,0.0,0.0,0.0,0.0,0.0,80043865693.0,239253458672.0,319297324365.0,0.0,0.0,0.0,0.23858943,0.02169328968890821,0.020793460962023374,0.1724775475,7.144834124,102.08234978195428,0.0,30.1558439101,132.23819369205427,0.0,0.7345746663519394,0.8601282556921584,0.7345564982504594,0.1517178587,12.1741650965,0.1403370645,46379752700.0,8835305407,5.0499035964,4.2223258956,5.0499035964,0.0,1.2385894300795703,1.8465175278,588000000000,30000000.0,13.0092900336,10.5850622354,7.3497691291,294.5028961666667,10614.5756561333,5.7935340313
13,VIX,2014,2,330459958143,129415822886,91536616015,102673495547,0,6834023695,12998293850,8926739174,0,0,4071554676,343458251993,16000308801,16000308801,0,327457943192,327457943192,0,22533419282,0,343458251993,174593374,0,735185860,2462261955,300000000000,300000000000,0,0,0,649896529,0,0,0,0,-1.0,9005673508,0.3709847463554267,22971145564,-10190713286,12780432278,0,0,0,-2410994989,10369437289,0,10369437289,-1363763781,0,9005673508,0,9005673508,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243223204388.0,-2338000000.0,0.0,45728189460.0,5708529932.0,0.0,0.0,4242983517.0,53341702909.0,0.0,300350606774.0,-300350606774.0,0.0,0.0,-189881501479.0,319297324365.0,129415822886.0,0.0,0.0,0.0,0.0488621795,0.02726071961175772,0.021382496983547775,0.2056103352,8.8146584063,79.19170682617845,0.0,11.3057665793,90.49747340547844,0.0,0.45141141351046987,0.5563689561059281,0.39204285580400233,0.1537581557,20.1246402617,0.1416189362,51452813223.0,10369437289,20.653348773,13.9472701403,20.653348773,0.0,1.0488621795062656,2.9683201162,972000000000,30000000.0,20.4050013349,14.0544227939,-3.9963292254,300.1891169333333,10915.2647730667,16.3758621605
