ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Chỉ tiêu cơ cấu nguồn vốn_(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn_Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn_Fixed Asset-To-Equity,Chỉ tiêu cơ cấu nguồn vốn_Owners' Equity/Charter Capital,Chỉ tiêu hiệu quả hoạt động_Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động_Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động_Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động_Cash Cycle,Chỉ tiêu hiệu quả hoạt động_Inventory Turnover,Chỉ tiêu khả năng sinh lợi_EBIT Margin (%),Chỉ tiêu khả năng sinh lợi_Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi_Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi_ROE (%),Chỉ tiêu khả năng sinh lợi_ROIC (%),Chỉ tiêu khả năng sinh lợi_ROA (%),Chỉ tiêu khả năng sinh lợi_EBITDA (Bn. VND),Chỉ tiêu khả năng sinh lợi_EBIT (Bn. VND),Chỉ tiêu khả năng sinh lợi_Dividend yield (%),Chỉ tiêu thanh khoản_Current Ratio,Chỉ tiêu thanh khoản_Cash Ratio,Chỉ tiêu thanh khoản_Quick Ratio,Chỉ tiêu thanh khoản_Interest Coverage,Chỉ tiêu thanh khoản_Financial Leverage,Chỉ tiêu định giá_Market Capital (Bn. VND),Chỉ tiêu định giá_Outstanding Share (Mil. Shares),Chỉ tiêu định giá_P/E,Chỉ tiêu định giá_P/B,Chỉ tiêu định giá_P/S,Chỉ tiêu định giá_P/Cash Flow,Chỉ tiêu định giá_EPS (VND),Chỉ tiêu định giá_BVPS (VND),Chỉ tiêu định giá_EV/EBITDA
VSC,2013,1,534988262949,43360827816,319135213244,134065484027,12607811621,25818926241,527618311744,366459942481,24920716000,136237653263,1062606574693,282937484436,250529984436,32407500000,779669090257,779669090257,0,237060678435,0,1062606574693,9431309322,12607811621,3184320816,251349616292,240385020000,240385020000,31366400000,1991986743,6739200000,0,135613125763,0,0,0,0.0,168752335315,45272669331,0.0,3763034391,-110815699,168752335315,0,168752335315,-109145962535,59606372780,-157608122,0,-153265181,-6341411172,56717122696,114195449,0,-56750937,57444512,56774567208,-11501897877,0,45272669331,0,45272669331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12614431934,-27687693955,3249063,-470460000000,483417750000,-1539326872,0,3598453490,-12667568274,0,0,-2246400000,0,-1195000000,-3441400000,-3494536340,46856015142,-650986,43360827816,0.0891044686,0.3628943201,0.47001984182828754,0.2082614355719217,0.746404239,2.4473605739,58.258362512346906,12.6984330301,51.5925637846,122.54935932704691,28.7437039777,0.3147316232860395,0.35321806165666575,0.2682787722403497,0.2946191353,6.4253342803,0.2119761886,323969078225.0,53111696427,0.0,2.1354260814,1.5052930367,2.0851015198,-479.2795326499723,1.3628943201310393,1031266152000,28646282,4.7014679668,1.1099402077,1.3390146629,81.5200048151,1580.402976239639,32434.1795614802,3.1670026343
VSC,2013,2,506548308294,299929063664,33094825168,133367888155,13095351299,27061180008,532203018877,370744283846,24920716000,136538019031,1038751327171,250765298213,234637578213,16127720000,787986028958,787986028958,0,245377617136,0,1038751327171,28046381446,13095351299,4751610166,251349616292,240385020000,240385020000,15298120000,2193843219,0,0,135913491531,0,0,0,0.0,194742267316,56310742701,0.0,4638988993,-619216000,194742267316,0,194742267316,-123685619714,71056647602,959410493,0,-19479363,-7441916527,69193651198,902632715,0,0,902632715,70096283913,-13785541212,0,56310742701,0,56310742701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47929679419,-14675220994,216750937,470460000000,-181082864090,-858039604,0,4021573213,278082199462,0,0,-23046400000,0,-46467681200,-69514081200,256497797681,43360827816,70438167,299929063664,0.038828404,0.3182357161,0.4704960116313951,0.2104830160027465,0.7247784098,2.1785531372,56.76806870269284,11.6661479867,51.9786507025,120.41286739189283,31.2871052566,0.3265611137658508,0.36487532255490995,0.2891552176992319,0.2814811298,8.674131028,0.2055068962,323385673621.0,63595251712,0.0,2.1588541449,1.4736509448,2.103043173,-102.70285605023126,1.3182357161136493,1392198030000,28646050,6.4405454392,1.4826039476,1.8290669667,29.0008472172,1965.7419679502061,32780.1636290814,3.4249108005
VSC,2013,3,511627544220,312652552852,33925532155,137773082543,13142857991,14133518679,556053306781,392578746524,24920716000,138553844257,1067680851001,263269242279,247278142279,15991100000,804411608722,804411608722,0,155259464563,0,1067680851001,29544631693,13142857991,3865264505,310151868629,288126500000,288126500000,15204000000,1846836610,0,0,137957966757,0,0,0,0.0,213216131387,59338125599,0.0,3162099857,-463589975,213216131387,0,213216131387,-126583246582,86632884805,-673783233,0,-81256274,-9796976209,79242968946,1056553543,0,-767185528,289368015,79532336961,-20194211362,0,59338125599,0,59338125599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-219592876060,-60629272149,651430881,0,331063029246,-8843960,0,3133701619,274210045637,0,0,0,0,-41894331375,-41894331375,12722838202,299929063664,650986,312652552852,0.0378015428,0.327281754,0.4880321744084538,0.21487053740701834,0.7367357222,2.0819722796,53.38333491871576,10.1205829694,51.7865049185,115.29042280661577,36.0651161202,0.3599852029145287,0.4063148704623861,0.27830035754329374,0.2854700108,11.4227239875,0.2115179254,342658416664.0,76754652322,0.0,2.0690366706,1.4531332276,2.0158865706,-165.56581561540455,1.3272817540478636,1833347200000,28646050,8.2063045675,2.2791157911,2.3567333643,-8.3463982661,2071.4243534099814,28081.0655822356,4.4823024109
VSC,2013,4,493460334578,281725141654,60857070180,121090992561,10322798343,19464331840,639103117015,456541762976,41630716000,140930638039,1132563451593,249038914756,239371686676,9667228080,883524536837,883524536837,0,234372392678,0,1132563451593,15697380802,10322798343,2320949178,310151868629,288126500000,288126500000,8938628080,2852044762,0,0,140334760539,4500000000,0,0,0.0,220196289107,79386917667,0.0,16957115208,-271025660,220196289107,-5032080318,215164208789,-129218582789,85945626000,4098271459,0,-3055876967,-7762688398,96182447302,2333017809,0,-1226026018,1106991791,97289439093,-17902521426,0,79386917667,0,79386917667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398744384174,-71185863585,1677427722,0,-360283764322,-12211817574,2378640699,16268455155,-423356921905,0,0,-6330000000,0,0,-6330000000,-30942537731,312652552852,15126533,281725141654,0.0202340234,0.2818698342,0.5167278824088013,0.2360028000392296,0.7241249833,1.9282528704,51.67649912671269,9.5718035883,59.2800179314,120.5283206464127,38.1328342804,0.34916151277126706,0.39944201911518784,0.36895968020801495,0.2930813345,10.6181358666,0.2198880208,359697610433.0,75127060635,0.0287769784,2.0614816289,1.4656378818,2.0183570703,-277.19537934157233,1.2818698342522035,1990900475000,28646050,8.2795152525,2.2533618388,2.5141602131,8.3059526887,2771.304164692863,30842.8050930931,4.7765509461
VSC,2014,1,516142185864,290697141420,78379587782,121901457703,11365259550,13798739409,642166266721,460180370068,41630716000,140355180653,1158308452585,230477693884,220855193884,9622500000,927830758701,927830758701,0,278678614542,0,1158308452585,13658696206,11365259550,4295426934,310151868629,288126500000,288126500000,8946400000,2653782084,207332856,0,139759303153,4500000000,0,0,0.17749841552763107,198705607450,47722949819,0.05412273064981824,2875810769,-46323447,198705607450,0,198705607450,-134119852098,64585755352,-62274102,0,-753684645,-8216701505,58428905869,398365655,0,0,398365655,58827271524,-11104321705,0,47722949819,0,47722949819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10654973241,-15580473441,200000000,-700000000,14350000000,0,0,2937476339,1207002898,0,0,-2875555040,0,0,-2875555040,8986421099,281725141654,-14421333,290697141420,0.0195080112,0.248404886,0.4959744713704802,0.2478376636826288,0.7475746043,1.9566812436,46.6898506592871,8.5148164178,51.0244655069,106.22913258398711,42.8664556095,0.2798882724836762,0.32503237417822556,0.24016911465877205,0.2852836155,10.2666490453,0.2208250612,356242589971.0,55615369202,0.0357142857,2.3370162901,1.7084802153,2.2855560579,-1200.5878837557145,1.2484048860448191,1924996696000,34374941,7.9296701301,2.0747282604,2.34233464,180.6664974617,1388.306377573128,26991.4865803261,4.6132981673
VSC,2014,2,603363213421,365256023940,76957441852,133530408122,11370226115,16249113392,641254149937,452270381994,47473116000,141510651943,1244617363358,286824590619,277051290619,9773300000,957792772739,957792772739,0,207490281178,0,1244617363358,5508754789,11370226115,6141207945,406528068031,288126500000,288126500000,9031200000,2922621132,0,0,140831774443,4500000000,0,0,0.22389339072061684,238343773862,64977948592,0.15391744941140836,3915267174,-105397329,238343773862,0,238343773862,-159948498095,78395275767,382916292,0,-777771923,-9644059360,72271627950,560657902,5842400000,-51390537,509267365,78623295315,-13645346723,0,64977948592,0,64977948592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102118614800,-7484165654,0,-35300000000,8168330000,0,0,4151891146,-30463944508,0,4734715108,-1859160068,0,0,2875555040,74530225332,290697141420,28657188,365256023940,0.018858359,0.2994641417,0.4722006626763766,0.2558409719247487,0.7520293182,1.9651313355,45.96618450436591,7.6669991646,50.552003475,104.18518714396592,47.6066309855,0.2851907703842783,0.32891681832809494,0.2726228067095302,0.2814291232,10.724981592,0.2184806863,367054379249.0,67973444484,0.0341880341,2.1778032943,1.6242026819,2.1367631458,-644.925683875727,1.2994641417044397,2010934048500,34374941,7.9981168016,2.0995502427,2.3236248982,19.6921398947,1890.2708397957688,27863.1103029093,4.5080765088
VSC,2014,3,652690740923,429295833361,80229279400,114262285762,11276424786,17626917614,614124115032,435008630190,36696716000,142418768842,1266814855955,260125273440,250438973440,9686300000,1006689582515,1006689582515,0,199098180954,0,1266814855955,3165651330,11276424786,5078639073,406528068031,345415410000,345415410000,9031200000,2428485330,0,0,141736891342,0,0,0,-0.013152623161096262,210411779959,48977606681,-0.17460138508612752,5215655990,-92456910,210411779959,0,210411779959,-141560218317,68851561642,-92474927,0,-829464500,-13624385411,59520892794,531594742,0,-58408364,473186378,59994079172,-11016472491,0,48977606681,0,48977606681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91508766668,-1320291375,293609463,-36368330000,300000000,0,434000000,10585711853,-26075300059,0,300000000,0,0,-1665000000,-1365000000,64068466609,365256023940,-28657188,429295833361,0.017942373,0.2583967073,0.4321179415636977,0.26890205120324134,0.7185095719,1.9126936196,45.19323729541181,7.162189219,50.5105443007,102.86597081511181,50.9620716286,0.2585297826081777,0.3272229418686356,0.23277026928123312,0.2553768938,9.1666509333,0.2007914672,349794439293.0,54397711731,0.04,2.6061867765,2.0655694644,2.5611601394,-588.3574492268885,1.2583967073446138,1718747050000,34374941,7.1297950171,1.7073257534,1.9924605856,18.7823212199,1424.8055489317057,29285.5653923886,3.7121299562
VSC,2014,4,480360425206,216024629908,52105720000,154266226423,7338432080,50625416795,1014741606587,420986227213,100330277837,493425101537,1495102031793,279221472908,269661492908,9559980000,1058380558885,1058380558885,0,250789157324,0,1495102031793,49081186818,7338432080,4368070782,406528068031,345415410000,345415410000,9060880000,1362635071,3893101980,0,492789424037,465000000,0,0,0.10710657781130724,243780760080,85857153509,0.08150254515662578,11628534373,-169438144,243780760080,0,243780760080,-143823332729,99957427351,6989847978,0,-598421317,-13609180660,104368207725,148374542,0,-111843112,36531430,104404739155,-18547585646,0,85857153509,0,85857153509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-243705219171,-9705364788,72727273,72368330000,-7258443489,-33000000000,22201361000,6630143449,51308753445,22500000000,3593101980,0,0,-47032966000,-20939864020,-213336329746,429295833361,65126293,216024629908,0.0208005161,0.2638195406,0.3977645126593287,0.2827094947449392,0.6783526495,2.0312558261,40.51390261717063,5.5624540109,52.6471179356,98.72347456367064,65.6185200419,0.35174976624841114,0.41003000941582757,0.35219003124292825,0.2555054066,0.0,0.1888243592,363036069260.0,85749825374,0.0,1.7813460128,0.9943219812,1.7541325163,-506.08336086353734,1.4126317979310623,1856246814000,34374941,7.4823431406,1.762355892,2.0827642523,-47.085538794,2497.6669344392476,30640.8031675541,4.5537518336
VSC,2015,1,572453794909,337299951463,31426484011,149805798714,8344647191,45576913530,979594562588,397056021754,96723303751,486562005999,1552048357497,285599063103,278585760173,7013302930,1108949294394,1108949294394,0,301357892833,0,1552048357497,54485453863,8344647191,618690000,435340718031,345415410000,345415410000,0,3055114646,9573600000,0,486562005999,465000000,0,-746768916,0.1415508304317861,226832551196,57391584526,0.20259926814395313,2162402828,-61856217,226832551196,0,226832551196,-144315475531,82517075665,-89732490,0,-1870383386,-9407850872,73311511745,13811140037,0,-15912408853,-2101268816,71210242929,-13818658403,0,57391584526,0,57391584526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172183560785,-17727091543,-2264190313,-28362500000,0,0,0,2084975975,-46268805881,0,0,-3393101980,0,-1251000000,-4644101980,121270652924,216024629908,4668631,337299951463,0.0,0.0,0.3580470484639936,0.2962171707369292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3140591640458357,0.36377969224399004,0.25301300110322106,0.0,0.0,0.0,0.0,71238841407,0.0353982301,0.0,0.0,0.0,-1151.6844201286995,1.3995665675094164,2330593473000,41249442,9.0612541611,1.7598614079,2.5349928211,19.0866849987,1391.3299609240776,32104.8008365927,5.8218689364
VSC,2015,2,522419246090,329001027287,48403984011,122842514218,9229241802,12942478772,1075854264050,373399851886,106544668002,486899058706,1598273510140,289030425699,279298500639,9731925060,1309243084441,1309243084441,0,173280839002,157402621637,1598273510140,34918294460,9229241802,26858856,537563930272,414160420000,414160420000,9260160000,1818303398,0,0,486899058706,465000000,0,0,-0.053237255592616155,225655005454,78388781709,0.20639052798061286,5452027442,-100522311,225655005454,0,225655005454,-131735765799,93919239655,-469452438,6214390165,-1928890717,-7759276471,95428037636,-13676484303,0,13672545454,-3938849,95424098787,-17132695441,0,78291403346,-97378363,78388781709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43233384799,-91916224581,15936735767,32064235989,0,0,0,5216677973,-38698574852,0,0,3393101980,0,-16222435325,-12829333345,-8294523398,337299951463,-4400778,329001027287,0.0,0.0,0.28520284454695316,0.3497186789698379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37327367189366684,0.4162072073962726,0.34738330555215463,0.0,0.0,0.0,0.0,84231072467,0.0285714286,0.0,0.0,0.0,-837.9341026789565,1.2207614683123613,2899122940000,41416042,9.1967178734,2.5169483393,3.1975147029,124.5188115702,1892.715429180799,27811.456797441,6.6702630644
VSC,2015,3,536526719498,286103047725,52426484011,137520304441,9687686271,50789197050,1308823593552,384929038230,106389314915,485723416266,1845350313050,479851225058,244160198984,235691026074,1365499087992,1365499087992,0,220477692091,157155664142,1845350313050,41856218780,9687686271,1477930876,537563420513,414160420000,414160420000,235256026074,2922724814,0,0,485723416266,310000000,0,0,0.16185345750906147,244467654046,89317186632,0.8236331394006035,4645712473,-93458998,244467654046,0,244467654046,-131195297644,113272356402,-350407560,0,-2001338819,-8731173631,106835148865,3525741384,0,-498153,3525243231,110360392096,-21290162960,0,89070229136,-246957496,89317186632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16424762952,-265656410276,-13672545454,-103876735989,8277500000,0,155000000,-2116710992,-376889902711,0,305758426074,-3893101980,0,15697435325,317562759419,-42902380340,329001027287,4400778,286103047725,0.0,0.0,0.2818962250615983,0.36474551048782006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4194413545307131,0.4633429188987359,0.36535380101939263,0.0,0.0,0.0,0.0,102539843952,0.0272108844,0.0,0.0,0.0,-1097.163955813008,1.3514108718766213,3044079087000,41416042,9.753910845,2.5192168277,3.2358485075,-255.659945538,2156.5843165795513,29175.7339788771,6.8551748698
VSC,2015,4,585876092207,332397641629,78525947673,92980974388,9960417201,72011111316,1638136117093,958833168642,108889668002,487426382813,2224012209300,792839839659,374986497931,417853341728,1431172369641,1431172369641,0,274832862734,168473265389,2224012209300,4145522828,9960417201,0,537563930272,414160420000,414160420000,417576841728,1095259374,7012140000,0,487426382813,310000000,0,291066000,-0.052970590294994374,230867549316,51660775520,-0.3982938705907057,3526475931,-657189787,230867549316,0,230867549316,-150061447087,80806102229,-749524302,0,-2268378559,-15277641537,66037033762,899432473,0,-303557012,595875461,66632909223,-17196678875,0,49436230348,-2224545172,51660775520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205743457643,29739604044,25038163416,73754772327,-8277500000,0,32649600,7924847522,128212536909,19981617716,-250778685717,0,0,-57065491875,-287862559876,46093434676,286103047725,201159228,332397641629,0.0,0.0,0.6699634432451466,0.38228783977322434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2740102813081485,0.3500106553233977,0.22376802488291372,0.0,0.0,0.0,0.0,63260082133,0.0347826087,0.0,0.0,0.0,-96.25846807780657,1.5539792805375907,2381422415000,41416042,8.5276683735,1.8859777496,2.5666781606,7.4394690172,1247.3614818142207,30488.1645680193,5.6634304029
VSC,2016,1,722741674579,477605889747,41461936009,109327025982,12773972193,81572850648,1674122030117,939139974384,108889668002,476071707034,2396863704696,800082793231,206179740072,593903053159,1596780911465,1596780911465,0,319319619468,289595050479,2396863704696,5855912140,12773972193,0,537563930272,414160420000,414160420000,593312493159,1411725782,6981900000,0,476071707034,310000000,0,291066000,-0.008287580984686956,224952658058,46670756734,-0.18680139049207056,5199664465,-13469223414,224952658058,0,224952658058,-149804470987,75148187071,-13520323968,0,-2598970198,-11010800393,53217756977,442558144,0,0,442558144,53660315121,-10867773297,0,42792541824,-3878214910,46670756734,51514033725,38830206999,0,-19818197,-4132379680,13469223414,99661266261,-27153612352,-2813554992,-148259607635,10822684695,-2310526889,-16671467243,60282794121,-20268467510,-46710491544,-67624113754,360000000,-87400000000,52984375196,0,0,5134504269,-96545234289,125000000000,165628155754,0,0,-2184000000,288444155754,145188429921,332397641629,19818197,477605889747,0.7475082384,0.5010598433,0.5881457923506653,0.4265243922981809,0.4592685955,1.3943337095,34.15519827729926,6.7532038083,68.0940781907,109.00248027629927,54.0484206256,0.2735616329731628,0.33406223211474295,0.20746923880297866,0.18660474,0.0,0.1319548685,350399622031.0,61538416480,0.0307692308,3.5053961865,2.3164540298,3.4434406704,-4.568816968024791,1.5010598432673818,2961214230000,45557142,11.1147593272,2.0594184885,3.1980528561,13.521092554,1024.4443502184574,31562.3076919325,8.1320476275
VSC,2016,2,574863419688,322055717611,21517513066,124569170543,13442549804,93278468664,1748311640112,1092392260988,112886879504,472282784835,2323175059800,894973252292,277614246730,617359005562,1428201807508,1428201807508,0,177669451988,160223924402,2323175059800,5869478209,13442549804,0,598595119872,455571420000,455571420000,616769245562,1484311167,36330160000,0,472282784835,310000000,0,291066000,0.23270821268666508,278166778457,77902936120,-0.006197896923613228,6346474022,-5589295429,278166778457,0,278166778457,-173637201647,104529576810,-5700500556,9204858574,-2813867984,-13589123168,97977417698,1629693547,0,-1571131585,58561962,98035979660,-12201169617,0,85834810043,7931873923,77902936120,100182261056,47183553056,35018500,62922646,-14921263095,5589295429,138131787592,-4828833603,-668577611,67096976004,-4168461919,-6972266094,-9847572563,-41563482855,7008932315,144188501266,-238355595684,0,55882486934,35541572477,-183600000000,128061716000,6500211004,-195969609269,-125000000000,63596768080,-714500000,0,-41491023750,-103608755670,-155389863673,477605889747,-160308463,322055717611,0.8891381066999999,0.626643411,0.7648724817776713,0.38149435758699296,0.4452884141,1.159548782,34.997513814157074,6.9210484993,64.8004277492,106.71899006265707,52.7376740729,0.3168120440077028,0.3757802329589065,0.2800583755980138,0.1824578698,0.0,0.1208508504,401478688278.0,88126585658,0.032,2.0707273725,1.1600835382,2.0223056867,-15.767029454330888,1.6266434110271821,2847321375000,45557142,10.7167333255,2.245560757,2.9100187775,8.9031122564,1710.004901536624,27832.6915921547,7.9166470245
VSC,2016,3,584642653923,328545943659,20524053856,120989252847,14118678815,100464724746,1798646410951,1166899156201,112886879504,466277923494,2383289064874,894837280819,282093485257,612743795562,1488451784055,1488451784055,0,235174465170,162968887767,2383289064874,9663279396,14118678815,0,598595119872,455571420000,455571420000,612654745562,1533729468,35405200000,0,466277923494,310000000,0,0,0.15899504400155215,283336799458,58030013182,-0.3502928678095043,2502133074,-14701605628,283336799458,0,283336799458,-183442129114,99894670344,-14708978404,0,-2596690424,-13176357162,71914777428,23088409,0,-67838197,-44749788,71870027640,-11095051093,0,60774976547,2744963365,58030013182,71870027640,37051691980,0,-17770591,-2484038597,14701605628,121121516060,4230214996,-676129011,58675277466,5419304049,-9638061829,-12201169617,0,-8100740675,158830211439,-93682390160,10000000,-8482486934,9475946144,0,0,2474038597,-90204892353,0,-60149840000,-2000000000,0,0,-62149840000,6475479086,322055717611,14746962,328545943659,0.8469973328,0.6011866091,0.7839683950137828,0.3975880398499601,0.4362760577,0.9788395908,34.83599299497787,6.9860846879,59.2896286924,101.11170637527788,52.2467184847,0.296896212983692,0.3525651116801287,0.20480930572028286,0.1576316056,0.0,0.1004635751,420112159064.0,84121622758,0.034904014,2.0725138455,1.1646704402,2.0224642004,-5.721934385029744,1.6011866090691822,2610424236600,45557142,11.1430645366,1.9694137464,2.5659718905,5.6496369483,1273.7851988608065,29094.9528020875,6.9741810021
VSC,2016,4,605005169022,331452487098,32327019444,130269427359,9263495588,101692739533,1792432728397,1215129401911,104799316472,461353222423,2397437897419,881947253829,296567008267,585380245562,1515490643590,1515490643590,0,258295915770,166886296702,2397437897419,6230265391,9263495588,0,598595119872,455571420000,455571420000,585340245562,1454857421,57689480000,0,461353222423,155000000,0,0,0.2808977097480093,295717715174,68678592599,0.3294146653375675,3407272071,-9751374952,295717715174,0,295717715174,-179459762240,116257952934,-9882848210,-3523563032,-3057951982,-15662889713,87537972068,-1258680844,0,1375062266,116381422,87654353490,-15058351955,0,72596001535,3917408936,68678592599,87654353490,44902789298,-4100693463,-222522326,463451830,9751374952,138448753781,-9077170299,4855183227,-26846385098,1974256973,-14822927727,-11421121765,-18719311266,-3235851115,61155426711,-60983547118,99806865,40000000000,-51802965588,0,160000000,7364304337,-65162401504,0,68915954035,-16835794035,0,-45510503650,6569656350,2562681557,328545943659,343861882,331452487098,0.8105427614,0.5819549316,0.8018059412313603,0.40481052920262955,0.4683265755,0.9955773534,32.84991823083764,5.1116733194,70.973165829,108.93475737923762,71.4051891018,0.32983181674323864,0.39313827670281415,0.23224375502356898,0.1705538078,0.0,0.1087460831,508767371869.0,97537111239,0.042662116,2.0400285674,1.1176310171,2.0087928085,-10.002395735895194,1.5819549315987738,2669648521200,45557142,10.6241010039,1.9795639302,2.4669310496,8.5152871126,1507.5263632428916,29602.4791653524,5.8597031266
